srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|chaddr|host name|vendor class identifier|flags|giaddr|opcode|yiaddr|htype|xid|ciaddr|siaddr|sname|secs|hops|parameter request list|hlen,,
null|null|0x0800|192.168.1.1|192.168.1.240|17|67|68|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|ff6b6213|c0a801f0|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|ce146b52|00000000|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|192.168.1.1|192.168.1.240|17|67|68|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|ffce3b55|c0a801f0|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|192.168.1.1|192.168.1.240|17|67|68|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|add6fe3a|c0a801f0|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|c6144637|00000000|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|192.168.1.1|192.168.1.240|17|67|68|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|c6144637|c0a801f0|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|b25aee34|00000000|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|192.168.1.1|192.168.1.240|17|67|68|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|b25aee34|c0a801f0|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|192.168.1.1|192.168.1.239|17|67|68|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|48b3a22d|c0a801ef|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|7a9b9304|00000000|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|192.168.1.1|192.168.1.239|17|67|68|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|7a9b9304|c0a801ef|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|192.168.1.1|192.168.1.239|17|67|68|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|7a9b9304|c0a801ef|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|192.168.1.1|192.168.1.240|17|67|68|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|2ea9c179|c0a801f0|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|2d56a43b|00000000|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|192.168.1.1|192.168.1.239|17|67|68|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|ce1c0272|c0a801ef|0|0|0|0|0103060c0f1c2a|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67|44650d56ccd3|null|756468637020312e31392e34|0|0|1|0|1|b59dda54|00000000|0|0|0|0|0103060c0f1c2a|06,,
