srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|method|host|request-version|uri,,|uri|user-agent,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|34390|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/1a17c62ed6770aa96d9c4134d1e3589e/pulseaudio-module-tunnel-sink-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.27|6|34395|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/1b35bbd72121ac673b2f43cd33485caf/pulseaudio-module-device-manager-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.27|6|34392|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/af6feee6a16391a505ec8465351403d6/libstdc6-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56514|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/f4ef98447276759869dbddab932097e9/opkg-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56512|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/2ca51faba8f1d9c8e863c4a86cbb4826/update-alternatives-cworth-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.27|6|34393|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/e86eddcb4bda55998919b01746ef1cac/libboost-system1.53.0-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56508|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/0b71076025b3afadc1fc75287a2f1d09/dnsmasq-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56506|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/7bb5a5a23e0fb1f89cf33e126dd80ea2/gst-plugins-good-wavparse-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56509|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/c1082b29451d986a058b2ecd7c26cd85/ncurses-terminfo-base-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56500|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/0dc7f164125e17af5ae55333bedb0d94/libkmod2-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56504|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/7feca644f3c8fe62286bc877eb4348ed/pulseaudio-module-switch-on-connect-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56502|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/64c86623e88fd7e1763319f20c800c5c/fbset-modes-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56492|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/95f6a41f432b8c577a27a0dfe46b54de/protobuf-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56490|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/39ea9f0e02c083b46c10b4686df6ac91/libboost-atomic1.53.0-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56495|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/32dc6bafc9f712c93e33cec0cfcc3f16/doppler-core-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56493|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/efdd0e7c4c7f3c13a33bcff68dc86a27/libcares2-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56498|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/9903c5a5b6600ddb29ce92de7a28b417/libgstmpegts-1.0-0-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56480|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/24145463c59d389272fbb221046d2ab2/libgpg-error0-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56484|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/dddaac74389766e5537a3e2861fc7e1c/libboost-date-time1.53.0-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56488|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/82a5c12c8ad4610f421335f7179da413/libboost-regex1.53.0-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56486|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/1ca55b1b0992bb0f89c435beac951906/libboost-signals1.53.0-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.27|6|34388|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/193e76eab17477d119aa76f37dfe195f/libpcap-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.27|6|34386|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/87d0ccb083f970b9ceede10af1881cc3/libpulsecore-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56473|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/364912a5604bb667f1f8737ceb5c1c4c/python-logging-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56478|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/756d0f87b7b859fdc75852b71e56b7e8/libattr1-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56476|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/b1a2ab6b2e748c2fe396f2e647a54aa3/pulseaudio-module-null-sink-4172.ipk,,|null|null
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56468|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/7ae49ea0b70983e080a2edfa70015a47/python-pickle-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.27|6|34383|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/2c0b9997fb4434c46dbedcbb747e124b/speex-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.16|6|50712|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/89c797f3c17d239a56f9d71557873b5a/libss2-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.16|6|50710|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/0e356423889ec3a2c14aeaaa99b31f74/pulseaudio-module-virtual-surround-sink-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.16|6|50716|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/c1dcd5b55fe7073365db34c6e1b1f3a9/e2fsprogs-blkid-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.16|6|50714|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/00958ed3fc4a4789136798541b7bd398/libuuid1-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.16|6|50719|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/4dd23b1bb2332389b2880c20260cc082/opkg-config-base-4172.ipk,,|null|null
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|58921|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/31fe2ff72cdc10e1ec46cd766d4bb505/gstreamer-4172.ipk,,|null|null
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|58917|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/4d06b6e232b2e2c05cce2d1aeb98f620/devmem2-4172.ipk,,|null|null
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|58919|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/cfb1613b6bbbd9883b126a420d0adaf7/libz1-4172.ipk,,|null|null
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|58912|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/ab51b0774145b44fbc6b351ecd56f60c/libc6-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.16|6|50723|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/68df8c4168bb7de05925179887dde51a/python-elementtree-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.16|6|50729|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/7a334bb0b70b4209678199ec4ec9257b/python-codecs-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.16|6|50727|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/1493dd54c9b317081b9f05e0d3ead3fe/python-math-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.16|6|46000|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/9b64a116a3b8eafa99e432afba94d04b/libgstvideo-1.0-0-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.16|6|46002|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/ee56d0d0ac7293f76c5c1989a79e1b60/libgstaudio-1.0-0-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.16|6|46003|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/a87fa7036ecbd594c1a72b66d679279f/libgstpbutils-1.0-0-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.16|6|46005|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/7df0a927ec7b097541b37b61b42f373d/gst-plugins-good-4172.ipk,,|null|null
null|null|0x0800|192.168.1.240|203.5.76.16|6|50721|80|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/f41fa0a49cbd6902b2a405c84c3b4c28/libdbus-glib-1-2-4172.ipk,,|null|null
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|45989|GET|amzdigitaldownloads.edgesuite.net|HTTP/1.1| /obfuscated-otav3-9/b8136c2bc7b6165a9d157f62214343a7/libpython2.7-1.0-4172.ipk,,|null|null
