srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|origin timestamp|client mode|transmit timestamp|client version,,
null|null|0x0800|207.171.178.6|192.168.1.240|17|123|51844|0|23|6a4fe187d3908704|23,,
null|null|0x0800|192.168.1.240|208.75.89.4|17|50142|123|0|23|48bfe1a62aff894e|23,,
null|null|0x0800|72.21.192.213|192.168.1.240|17|123|54961|0|23|5a3f3b7ecf4ab249|23,,
null|null|0x0800|72.21.192.213|192.168.1.240|17|123|41649|0|23|f7e7eb92abc74d1c|23,,
null|null|0x0800|192.168.1.240|206.108.0.132|17|54176|123|0|23|12e97575651cefd4|23,,
null|null|0x0800|192.168.1.240|72.21.192.213|17|39225|123|0|23|94c108f78fa8e261|23,,
null|null|0x0800|207.171.178.6|192.168.1.240|17|123|49523|0|23|22e94cec582af7bd|23,,
null|null|0x0800|192.168.1.240|207.171.178.6|17|44561|123|0|23|2bf6792654acc9c7|23,,
null|null|0x0800|192.168.1.240|129.6.15.30|17|58856|123|0|23|d13e0cedde088891|23,,
null|null|0x0800|206.108.0.132|192.168.1.240|17|123|34864|0|23|82570697f003dedb|23,,
null|null|0x0800|72.21.192.213|192.168.1.240|17|123|54953|0|23|dbd44d968c0774db|23,,
null|null|0x0800|192.168.1.240|72.21.192.213|17|40479|123|0|23|2cc7c60bbf77aae5|23,,
null|null|0x0800|192.168.1.240|207.171.178.6|17|54896|123|0|23|f9b40367ea66bdb0|23,,
null|null|0x0800|192.168.1.240|207.171.178.6|17|34360|123|0|23|9c82fcaaf50e3f24|23,,
null|null|0x0800|72.21.192.213|192.168.1.240|17|123|53617|0|23|f1d849bcce6a75ef|23,,
null|null|0x0800|192.168.1.240|206.108.0.132|17|34129|123|0|23|ec3dfc085a548315|23,,
null|null|0x0800|192.168.1.240|129.6.15.30|17|35820|123|0|23|4af48d70e4358dc5|23,,
null|null|0x0800|192.168.1.240|207.171.178.6|17|57619|123|0|23|a9e4d0bb89d8c795|23,,
null|null|0x0800|72.21.192.213|192.168.1.240|17|123|42955|0|23|38693020208ba662|23,,
null|null|0x0800|192.168.1.240|132.163.4.101|17|46897|123|0|23|1c3ab4742ee3365b|23,,
null|null|0x0800|198.38.16.1|192.168.1.240|17|123|55775|0|23|ee9bfb9accd83b2c|23,,
null|null|0x0800|96.244.96.19|192.168.1.240|17|123|60530|0|23|bd9bb3b8e4545365|23,,
null|null|0x0800|192.168.1.240|204.11.201.12|17|46260|123|0|23|19b36789b0e24653|23,,
null|null|0x0800|72.21.192.213|192.168.1.240|17|123|57198|0|23|dd6cb31a31628f7b|23,,
null|null|0x0800|208.75.89.4|192.168.1.240|17|123|46605|0|23|4e1deb6c606f53d6|23,,
null|null|0x0800|192.168.1.240|208.75.88.4|17|38652|123|0|23|8e7cc07cd21cc8b7|23,,
null|null|0x0800|206.108.0.132|192.168.1.240|17|123|45573|0|23|e4bcf1a108dd4aef|23,,
null|null|0x0800|72.21.192.213|192.168.1.240|17|123|57181|0|23|afa2c28fddd2915d|23,,
