srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|chaddr|flags|giaddr|opcode|yiaddr|htype|xid|ciaddr|siaddr|ip lease time|sname|hops|hlen,,
null|null|0x0800|192.168.1.1|192.168.1.240|17|67|68|44650d56ccd3|0.0|0.0|2.0|c0a801f0|1.0|ff6b6213|c0a801f0|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.1|192.168.1.240|17|67|68|44650d56ccd3|0.0|0.0|2.0|c0a801f0|1.0|ffce3b55|c0a801f0|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|192.168.1.1|192.168.1.240|17|67|68|44650d56ccd3|0.0|0.0|2.0|c0a801f0|1.0|add6fe3a|c0a801f0|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.1|192.168.1.240|17|67|68|44650d56ccd3|0.0|0.0|2.0|c0a801f0|1.0|c6144637|c0a801f0|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.1|192.168.1.240|17|67|68|44650d56ccd3|0.0|0.0|2.0|c0a801f0|1.0|b25aee34|c0a801f0|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|192.168.1.1|192.168.1.239|17|67|68|44650d56ccd3|0.0|0.0|2.0|c0a801ef|1.0|48b3a22d|c0a801ef|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.1|192.168.1.239|17|67|68|44650d56ccd3|0.0|0.0|2.0|c0a801ef|1.0|7a9b9304|c0a801ef|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|192.168.1.1|192.168.1.239|17|67|68|44650d56ccd3|0.0|0.0|2.0|c0a801ef|1.0|7a9b9304|c0a801ef|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|192.168.1.1|192.168.1.240|17|67|68|44650d56ccd3|0.0|0.0|2.0|c0a801f0|1.0|2d56a43b|00000000|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.1|192.168.1.239|17|67|68|44650d56ccd3|0.0|0.0|2.0|c0a801ef|1.0|ce1c0272|c0a801ef|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
