srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|server|response-version|response phrase|status code,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|34390|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|34395|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|34392|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56514|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56512|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|34393|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56508|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56506|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56509|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56500|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56504|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56502|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56492|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56490|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56495|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56493|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56498|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56480|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56484|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56488|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56486|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|34388|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|34386|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56473|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56478|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56476|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|56468|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|34383|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|50712|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|50710|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|50716|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|50714|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|50719|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|58921|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|58917|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|58919|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|58912|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|50723|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|50729|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|50727|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|46000|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|46002|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|46003|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|46005|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|50721|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|45989|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|45982|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|45984|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|45987|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|45980|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|45993|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|45996|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.16|192.168.1.240|6|80|45978|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|47627|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|47629|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|39090|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|39092|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|36847|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|36849|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|36840|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|36841|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|34411|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|39085|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|39082|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|39076|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|39078|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|39094|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|39096|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|203.5.76.27|192.168.1.240|6|80|39098|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|34404|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|36836|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|34405|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.27|6|34402|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.240|203.5.76.16|6|36834|80|AkamaiNetStorage|HTTP/1.1|OK|200,,
