srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,origin timestamp,,,transmit timestamp,,,reference id,,,server version,,,server mode,,
null,,,null,,,0x0800,,,192.168.1.152,,,59.125.122.217,,,17,,,123,,,123,,,dbd5ba4300000000,,,dbd5ba43cb47498b,,,47505300,,,1c,,,1c,,
null,,,null,,,0x0800,,,203.19.252.4,,,192.168.1.152,,,17,,,123,,,123,,,dbd8796600000000,,,dbd87966f60202a1,,,cb2353f2,,,1c,,,1c,,
null,,,null,,,0x0800,,,45.79.111.114,,,192.168.1.152,,,17,,,123,,,123,,,dbe71a8900000000,,,dbe71a89dd7aea5f,,,7f43715c,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.152,,,129.250.35.250,,,17,,,123,,,123,,,dbcf7c1900000000,,,dbcf7c19cfa7de79,,,85f3eef3,,,1c,,,1c,,
null,,,null,,,0x0800,,,209.123.234.43,,,192.168.1.152,,,17,,,123,,,123,,,dbdbe6eb00000000,,,dbdbe6ebe088559b,,,8e42650d,,,1c,,,1c,,
null,,,null,,,0x0800,,,216.75.56.132,,,192.168.1.152,,,17,,,123,,,123,,,dbec599600000000,,,dbec5996f0d3abcb,,,84ef0106,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.152,,,176.9.82.67,,,17,,,123,,,123,,,dbd5c85800000000,,,dbd5c858f10cf765,,,d5efefa5,,,1c,,,1c,,
null,,,null,,,0x0800,,,45.127.112.2,,,192.168.1.152,,,17,,,123,,,123,,,dbe309e400000000,,,dbe309e4efff558e,,,9514401c,,,1c,,,1c,,
null,,,null,,,0x0800,,,78.46.204.247,,,192.168.1.152,,,17,,,123,,,123,,,dbdb05ea00000000,,,dbdb05eadfb1272c,,,34ef7931,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.155.81.203,,,192.168.1.152,,,17,,,123,,,123,,,dbdcabcc00000000,,,dbdcabccc6fea715,,,26e54701,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.152,,,150.101.176.226,,,17,,,123,,,123,,,83aa7e8300000000,,,dbcfb358ecb04ab6,,,67ef0816,,,1c,,,1c,,
null,,,null,,,0x0800,,,50.18.44.198,,,192.168.1.152,,,17,,,123,,,123,,,dc62228f00000000,,,dc6222912514133c,,,c00c1314,,,1c,,,1c,,
null,,,null,,,0x0800,,,67.18.187.111,,,192.168.1.152,,,17,,,123,,,123,,,dbe4e80700000000,,,dbe4e80740ed6912,,,42e43bbb,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.152,,,202.22.158.30,,,17,,,123,,,123,,,dbeac1c400000000,,,dbeac1c4f9986ce4,,,d8dac0ca,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.152,,,213.239.154.12,,,17,,,123,,,123,,,dbe1b86300000000,,,dbe1b863858e0e2a,,,d58800fc,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.152,,,198.60.22.240,,,17,,,123,,,123,,,dbe1feb300000000,,,dbe1feb3c80a2319,,,584d4953,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.152,,,64.113.44.54,,,17,,,123,,,123,,,dbd2deff00000000,,,dbd2deff80dc9cd7,,,6b505053,,,1c,,,1c,,
null,,,null,,,0x0800,,,203.100.61.10,,,192.168.1.152,,,17,,,123,,,123,,,dbcf51e900000000,,,dbcf51e9a3818d8b,,,50505300,,,1c,,,1c,,
