srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,origin timestamp,,,client mode,,,transmit timestamp,,,client version,,
null,,,null,,,0x0800,,,192.168.1.118,,,212.113.190.2,,,17,,,48999,,,123,,,0000000000000000,,,db,,,83d9516a00000000,,,db,,
null,,,null,,,0x0800,,,176.221.42.125,,,192.168.1.118,,,17,,,123,,,48999,,,0000000000000000,,,db,,,83d923b600000000,,,db,,
null,,,null,,,0x0800,,,192.168.1.118,,,69.28.91.73,,,17,,,48999,,,123,,,0000000000000000,,,db,,,83cf461500000000,,,db,,
null,,,null,,,0x0800,,,34.198.99.183,,,192.168.1.118,,,17,,,123,,,48999,,,0000000000000000,,,db,,,83d160bc00000000,,,db,,
null,,,null,,,0x0800,,,192.168.1.118,,,216.182.1.2,,,17,,,48999,,,123,,,0000000000000000,,,db,,,83cf66e000000000,,,db,,
null,,,null,,,0x0800,,,98.191.213.12,,,192.168.1.118,,,17,,,123,,,48999,,,0000000000000000,,,db,,,83d881fe00000000,,,db,,
null,,,null,,,0x0800,,,49.176.208.19,,,192.168.1.118,,,17,,,123,,,48999,,,0000000000000000,,,db,,,83ca704000000000,,,db,,
null,,,null,,,0x0800,,,74.120.81.219,,,192.168.1.118,,,17,,,123,,,48999,,,0000000000000000,,,db,,,83cea90800000000,,,db,,
null,,,null,,,0x0800,,,62.168.65.36,,,192.168.1.118,,,17,,,123,,,48999,,,0000000000000000,,,db,,,83ce7d5900000000,,,db,,
null,,,null,,,0x0800,,,68.70.60.112,,,192.168.1.118,,,17,,,123,,,48999,,,0000000000000000,,,db,,,83c25eb200000000,,,db,,
null,,,null,,,0x0800,,,70.114.179.103,,,192.168.1.118,,,17,,,123,,,48999,,,0000000000000000,,,db,,,83d0703500000000,,,db,,
null,,,null,,,0x0800,,,192.168.1.118,,,5.9.150.40,,,17,,,48999,,,123,,,0000000000000000,,,db,,,83c0bb1c00000000,,,db,,
null,,,null,,,0x0800,,,46.4.54.78,,,192.168.1.118,,,17,,,123,,,48999,,,0000000000000000,,,db,,,83d0f4a600000000,,,db,,
null,,,null,,,0x0800,,,192.168.1.118,,,64.85.160.54,,,17,,,48999,,,123,,,0000000000000000,,,db,,,83bff2b900000000,,,db,,
null,,,null,,,0x0800,,,192.168.1.118,,,176.9.253.75,,,17,,,48999,,,123,,,0000000000000000,,,db,,,83ce2a2500000000,,,db,,
