srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,transaction id,,,flags,,,Qnumber,,
null,,,null,,,0x0800,,,192.168.1.118,,,8.8.8.8,,,17,,,31798,,,53,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.118,,,8.8.8.8,,,17,,,31532,,,53,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.118,,,8.8.8.8,,,17,,,31665,,,53,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.118,,,17,,,53,,,32180,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.118,,,17,,,53,,,32181,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.118,,,192.168.1.1,,,17,,,30701,,,53,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.118,,,17,,,53,,,32182,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.118,,,192.168.1.1,,,17,,,30834,,,53,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.118,,,17,,,53,,,32183,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.118,,,192.168.1.1,,,17,,,32398,,,53,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.118,,,192.168.1.1,,,17,,,32132,,,53,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.118,,,192.168.1.1,,,17,,,32265,,,53,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.118,,,8.8.8.8,,,17,,,30599,,,53,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,8.8.8.8,,,192.168.1.118,,,17,,,53,,,31020,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.118,,,17,,,53,,,32177,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,8.8.8.8,,,192.168.1.118,,,17,,,53,,,32351,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.118,,,17,,,53,,,32178,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,8.8.8.8,,,192.168.1.118,,,17,,,53,,,32350,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.118,,,192.168.1.1,,,17,,,30968,,,53,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.118,,,17,,,53,,,32179,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,8.8.8.8,,,192.168.1.118,,,17,,,53,,,31024,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.118,,,8.8.8.8,,,17,,,30200,,,53,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.118,,,192.168.1.1,,,17,,,30835,,,53,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.118,,,17,,,53,,,32173,,,0000,,,8180,,,0001,,
null,,,null,,,0x0800,,,8.8.8.8,,,192.168.1.118,,,17,,,53,,,32355,,,0000,,,8180,,,0001,,
