srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,transaction id,,,flags,,,Qnumber,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,36752,,,7314,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,49050,,,53,,,7ab5,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,35423,,,51c8,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,56757,,,53,,,05c4,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,35426,,,d5d1,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,48739,,,d8c2,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,48734,,,ca49,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,47405,,,6532,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,57823,,,53,,,cec5,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,36759,,,eb45,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,50173,,,53,,,5743,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,48952,,,53,,,76b1,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,43924,,,53,,,523c,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,35435,,,4bc8,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,50040,,,53,,,22ec,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,46553,,,53,,,697a,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,36765,,,65a1,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,47419,,,860b,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,34922,,,53,,,e302,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,45356,,,53,,,d40a,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,47410,,,5f22,,,0100,,,0001,,
