srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,method,,,host,,,request-version,,,uri,,,user-agent,,
null,,,null,,,0x0800,,,178.33.226.93,,,192.168.1.177,,,6,,,80,,,59439,,,GET,,,iptime.pix-star.com,,,HTTP/1.1,,, /iptime/?hsh=4706528081bcb41a15730c94ea035b31&usr=e076d033bb85,,,Mozilla/5.0,,
null,,,null,,,0x0800,,,178.33.226.93,,,192.168.1.177,,,6,,,80,,,53370,,,GET,,,iptime.pix-star.com,,,HTTP/1.1,,, /iptime/?hsh=4706528081bcb41a15730c94ea035b31&usr=e076d033bb85,,,Mozilla/5.0,,
null,,,null,,,0x0800,,,192.168.1.177,,,178.33.226.93,,,6,,,34741,,,80,,,GET,,,iptime.pix-star.com,,,HTTP/1.1,,, /iptime/?hsh=4706528081bcb41a15730c94ea035b31&usr=e076d033bb85,,,Mozilla/5.0,,
null,,,null,,,0x0800,,,192.168.1.177,,,178.33.226.93,,,6,,,58499,,,80,,,GET,,,iptime.pix-star.com,,,HTTP/1.1,,, /iptime/?hsh=4706528081bcb41a15730c94ea035b31&usr=e076d033bb85,,,Mozilla/5.0,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,6,,,42603,,,5000,,,SUBSCRIBE,,,192.168.1.1:5000,,,HTTP/1.1,,, /evt/L3F,,,Linux/3.4.39 UPnP/1.1 HUPnP/1.1,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,6,,,42605,,,5000,,,SUBSCRIBE,,,192.168.1.1:5000,,,HTTP/1.1,,, /evt/IPConn,,,Linux/3.4.39 UPnP/1.1 HUPnP/1.1,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,6,,,42604,,,5000,,,SUBSCRIBE,,,192.168.1.1:5000,,,HTTP/1.1,,, /evt/CmnIfCfg,,,Linux/3.4.39 UPnP/1.1 HUPnP/1.1,,
null,,,null,,,0x0800,,,192.168.1.177,,,178.33.226.93,,,6,,,34635,,,80,,,GET,,,iptime.pix-star.com,,,HTTP/1.1,,, /iptime/?hsh=4706528081bcb41a15730c94ea035b31&usr=e076d033bb85,,,Mozilla/5.0,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,6,,,38921,,,46380,,,NOTIFY,,,192.168.1.177:46380,,,HTTP/1.1,,, /0b7a0eef-fcd5-4d67-a769-ad30ce3f8a9d,,,,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,6,,,38920,,,46380,,,NOTIFY,,,192.168.1.177:46380,,,HTTP/1.1,,, /66c988a8-eb57-4efb-b2db-f45c05288ab8,,,,,
