srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,transaction id,,,flags,,,Qnumber,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,36752,,,7314,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,49050,,,53,,,7ab5,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,35423,,,51c8,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,56757,,,53,,,05c4,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,35426,,,d5d1,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,48739,,,d8c2,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,48734,,,ca49,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,47405,,,6532,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,57823,,,53,,,cec5,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,36759,,,eb45,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,50173,,,53,,,5743,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,48952,,,53,,,76b1,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,43924,,,53,,,523c,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,35435,,,4bc8,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,50040,,,53,,,22ec,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,46553,,,53,,,697a,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,36765,,,65a1,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,47419,,,860b,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,34922,,,53,,,e302,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,45356,,,53,,,d40a,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,47410,,,5f22,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,48743,,,084b,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,51371,,,53,,,daa1,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,48747,,,64b1,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,36769,,,be4e,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,36774,,,d087,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,48953,,,53,,,d29b,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,35444,,,6e4c,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,48820,,,53,,,8833,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,34115,,,2a1e,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,48759,,,1969,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,47429,,,8eda,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,60409,,,ebfe,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,59411,,,db98,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,35440,,,e2f7,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.177,,,17,,,53,,,59410,,,9721,,,8183,,,0001,,
null,,,null,,,0x0800,,,192.168.1.177,,,192.168.1.1,,,17,,,34923,,,53,,,b18a,,,8183,,,0001,,
