srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,transaction id,,,flags,,,Qnumber,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,65154,,,53,,,23a2,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,52800,,,f06a,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,61637,,,dd5c,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,52310,,,53,,,b9e7,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,61754,,,68fa,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,53787,,,53,,,f9c3,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,49874,,,f925,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,60541,,,836d,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,64619,,,53,,,6054,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,50277,,,53,,,d08b,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,56043,,,e009,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,51111,,,53,,,9cb9,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,49251,,,53,,,de9f,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,57378,,,0d3b,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,60335,,,53,,,3478,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,59433,,,44e0,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,56047,,,3748,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,58243,,,53,,,ff06,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,55199,,,d512,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,58349,,,c493,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,54538,,,53,,,6c23,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,50990,,,b103,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,63709,,,f490,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,51246,,,53,,,1b68,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,51125,,,53,,,bc34,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,64281,,,53,,,0456,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,63820,,,53,,,b985,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,51728,,,7f15,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,55097,,,53,,,f91b,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,56176,,,eaca,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,59445,,,9623,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,58112,,,ae55,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,50513,,,b770,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,55089,,,dbd8,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,58012,,,53,,,2745,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,52019,,,53,,,1e31,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,54757,,,53,,,ea20,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,58036,,,53,,,6589,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,50871,,,44fe,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,58238,,,eae1,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,61417,,,3d39,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,63716,,,ea8e,,,0100,,,0001,,
