srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,origin timestamp,,,client mode,,,transmit timestamp,,,client version,,
null,,,null,,,0x0800,,,27.124.125.251,,,192.168.1.221,,,17,,,123,,,60841,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,27.124.125.250,,,192.168.1.221,,,17,,,123,,,54374,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,13.55.50.68,,,192.168.1.221,,,17,,,123,,,64857,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,192.168.1.221,,,103.38.120.36,,,17,,,59509,,,123,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,115.187.159.2,,,192.168.1.221,,,17,,,123,,,52205,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,150.101.217.196,,,192.168.1.221,,,17,,,123,,,64794,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,192.189.54.33,,,192.168.1.221,,,17,,,123,,,61273,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,129.250.35.250,,,192.168.1.221,,,17,,,123,,,65027,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,192.168.1.221,,,203.213.88.59,,,17,,,57079,,,123,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,192.168.1.221,,,203.23.237.200,,,17,,,50623,,,123,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,192.168.1.221,,,203.206.205.83,,,17,,,54741,,,123,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,192.168.1.221,,,202.60.94.15,,,17,,,64211,,,123,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,45.127.113.2,,,192.168.1.221,,,17,,,123,,,64334,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,192.168.1.221,,,203.135.184.123,,,17,,,57793,,,123,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,192.168.1.221,,,203.7.149.150,,,17,,,49885,,,123,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,192.168.1.221,,,104.156.232.147,,,17,,,64270,,,123,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,129.250.35.251,,,192.168.1.221,,,17,,,123,,,62432,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,27.124.125.252,,,192.168.1.221,,,17,,,123,,,51476,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,129.250.35.250,,,192.168.1.221,,,17,,,123,,,60464,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,192.168.1.221,,,203.135.184.123,,,17,,,59282,,,123,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,192.168.1.221,,,129.250.35.251,,,17,,,63839,,,123,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,150.101.176.226,,,192.168.1.221,,,17,,,123,,,58066,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,192.168.1.221,,,203.122.222.149,,,17,,,52791,,,123,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,192.168.1.221,,,129.250.35.250,,,17,,,57556,,,123,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,192.168.1.221,,,202.60.94.15,,,17,,,59230,,,123,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
null,,,null,,,0x0800,,,103.38.120.36,,,192.168.1.221,,,17,,,123,,,62815,,,0000000000000000,,,1b,,,0000000000000000,,,1b,,
