srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,client-hello-extensions,,,client-hello-cipher-suites,,,client-hello-version,,
null,,,null,,,0x0800,,,52.73.28.8,,,192.168.1.221,,,6,,,443,,,58501,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.201.5.235,,,192.168.1.221,,,6,,,443,,,59209,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.73.28.8,,,192.168.1.221,,,6,,,443,,,55467,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.6.121.206,,,192.168.1.221,,,6,,,443,,,49896,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.73.28.8,,,6,,,61575,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.205.153.193,,,6,,,61473,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.205.153.193,,,6,,,54563,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.205.153.193,,,192.168.1.221,,,6,,,443,,,52843,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.205.153.193,,,192.168.1.221,,,6,,,443,,,63505,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,54.210.10.156,,,192.168.1.221,,,6,,,443,,,51285,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.205.153.193,,,192.168.1.221,,,6,,,443,,,60245,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.73.28.8,,,6,,,64940,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,54.210.10.156,,,192.168.1.221,,,6,,,443,,,53226,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.5.51.114,,,192.168.1.221,,,6,,,443,,,65222,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.73.28.8,,,6,,,53532,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.5.51.114,,,6,,,62069,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.5.51.114,,,6,,,57539,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.205.153.193,,,6,,,60270,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.205.153.193,,,192.168.1.221,,,6,,,443,,,59029,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.5.51.114,,,6,,,49641,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.5.202.160,,,6,,,51917,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,54.210.10.156,,,192.168.1.221,,,6,,,443,,,61130,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.205.153.193,,,192.168.1.221,,,6,,,443,,,51306,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.5.51.114,,,6,,,61281,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,54.210.10.156,,,192.168.1.221,,,6,,,443,,,64765,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.73.28.8,,,6,,,52541,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,54.210.10.156,,,192.168.1.221,,,6,,,443,,,63799,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.0.140.23,,,6,,,58019,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.44.145.223,,,6,,,63691,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.6.121.206,,,6,,,55793,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,54.210.10.156,,,6,,,53857,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,54.210.10.156,,,192.168.1.221,,,6,,,443,,,55716,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.22.101.123,,,6,,,50142,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,54.210.10.156,,,6,,,51631,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.0.140.23,,,192.168.1.221,,,6,,,443,,,50843,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.205.153.193,,,6,,,49301,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.0.140.23,,,192.168.1.221,,,6,,,443,,,61515,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.205.153.193,,,192.168.1.221,,,6,,,443,,,60843,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.205.153.193,,,192.168.1.221,,,6,,,443,,,58894,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.22.101.123,,,192.168.1.221,,,6,,,443,,,51507,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.6.121.206,,,6,,,54722,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.5.51.114,,,6,,,62923,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,54.210.10.156,,,6,,,55784,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.205.153.193,,,6,,,58731,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.201.5.235,,,6,,,52577,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.22.101.123,,,192.168.1.221,,,6,,,443,,,58230,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.205.153.193,,,192.168.1.221,,,6,,,443,,,59405,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.205.153.193,,,6,,,61213,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.205.153.193,,,192.168.1.221,,,6,,,443,,,61972,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.5.51.114,,,6,,,49737,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.201.5.235,,,192.168.1.221,,,6,,,443,,,53780,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,54.210.10.156,,,6,,,57741,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.205.153.193,,,192.168.1.221,,,6,,,443,,,61982,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.73.28.8,,,6,,,61216,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.5.51.114,,,192.168.1.221,,,6,,,443,,,65174,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.5.51.114,,,192.168.1.221,,,6,,,443,,,65293,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.5.51.114,,,192.168.1.221,,,6,,,443,,,65290,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.205.153.193,,,6,,,62105,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,54.210.10.156,,,192.168.1.221,,,6,,,443,,,53005,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.205.153.193,,,6,,,50537,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.5.51.114,,,6,,,59049,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.22.101.123,,,6,,,58638,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.205.153.193,,,6,,,56576,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.73.28.8,,,192.168.1.221,,,6,,,443,,,55918,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,54.210.10.156,,,6,,,53782,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,54.210.10.156,,,6,,,61467,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.205.153.193,,,192.168.1.221,,,6,,,443,,,57969,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.5.51.114,,,6,,,59248,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.73.28.8,,,6,,,64550,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.205.153.193,,,6,,,60970,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.6.121.206,,,192.168.1.221,,,6,,,443,,,63277,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.205.153.193,,,6,,,50259,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.205.153.193,,,6,,,57351,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.205.153.193,,,6,,,64230,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.73.28.8,,,192.168.1.221,,,6,,,443,,,53500,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.6.121.206,,,192.168.1.221,,,6,,,443,,,56768,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.73.28.8,,,192.168.1.221,,,6,,,443,,,62003,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.201.5.235,,,192.168.1.221,,,6,,,443,,,56779,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.5.51.114,,,6,,,62874,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,52.73.28.8,,,192.168.1.221,,,6,,,443,,,62237,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,54.210.10.156,,,6,,,64075,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,52.5.51.114,,,6,,,55294,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
null,,,null,,,0x0800,,,192.168.1.221,,,54.210.10.156,,,6,,,65183,,,443,,,000d000c000a02010202020304010403,,,c014c0110039003500050004003c003dc027c023,,,0303,,
