srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,transaction id,,,flags,,,Qnumber,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,65154,,,53,,,6b61,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,52800,,,f06a,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,61637,,,dd5c,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,52310,,,53,,,b9e7,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,61754,,,68fa,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,53787,,,53,,,72c2,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,49874,,,f925,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,60541,,,836d,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,64619,,,53,,,6054,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,50277,,,53,,,d08b,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,56043,,,a887,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,51111,,,53,,,9cb9,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,49251,,,53,,,de9f,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,57378,,,0d3b,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,60335,,,53,,,3478,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,59433,,,44e0,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,56047,,,3748,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,58243,,,53,,,ff06,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,55199,,,d512,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,58349,,,c493,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,54538,,,53,,,6c23,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,50990,,,b103,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,63709,,,f490,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,51246,,,53,,,1b68,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,51125,,,53,,,bc34,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,64281,,,53,,,0456,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,63820,,,53,,,b985,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,51728,,,7f15,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,55097,,,53,,,f91b,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,56176,,,eaca,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,59445,,,9623,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.221,,,17,,,53,,,58112,,,ae55,,,8180,,,0001,,
