srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,origin timestamp,,,transmit timestamp,,,reference id,,,server version,,,server mode,,
null,,,null,,,0x0800,,,27.124.125.251,,,192.168.1.221,,,17,,,123,,,60841,,,0000000000000000,,,dc71b98be9c4379a,,,82d9e231,,,1c,,,1c,,
null,,,null,,,0x0800,,,27.124.125.250,,,192.168.1.221,,,17,,,123,,,54374,,,0000000000000000,,,dc803585ec5245cc,,,33fec4a7,,,1c,,,1c,,
null,,,null,,,0x0800,,,13.55.50.68,,,192.168.1.221,,,17,,,123,,,64857,,,0000000000000000,,,dc87bc6f1f1f9d23,,,36ce6dbb,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.221,,,103.38.120.36,,,17,,,59509,,,123,,,0000000000000000,,,dc81251a23a53fa9,,,ca068376,,,1c,,,1c,,
null,,,null,,,0x0800,,,115.187.159.2,,,192.168.1.221,,,17,,,123,,,52205,,,0000000000000000,,,dc8e6aa2ab533eef,,,47505300,,,1c,,,1c,,
null,,,null,,,0x0800,,,150.101.217.196,,,192.168.1.221,,,17,,,123,,,64794,,,0000000000000000,,,dc93b065f1aac0fe,,,50505300,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.189.54.33,,,192.168.1.221,,,17,,,123,,,61273,,,0000000000000000,,,dc88fd42a948b000,,,cb2353f2,,,1c,,,1c,,
null,,,null,,,0x0800,,,129.250.35.250,,,192.168.1.221,,,17,,,123,,,65027,,,0000000000000000,,,dc90ed673cabb4ad,,,f9e063d5,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.221,,,203.213.88.59,,,17,,,57079,,,123,,,0000000000000000,,,dc8faff1601b85d4,,,73bb9f02,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.221,,,203.23.237.200,,,17,,,50623,,,123,,,0000000000000000,,,dc83dac13ba6ef79,,,cb2353f2,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.221,,,203.206.205.83,,,17,,,54741,,,123,,,0000000000000000,,,dc863ed92ca6d0f0,,,d209c032,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.221,,,202.60.94.15,,,17,,,64211,,,123,,,0000000000000000,,,dc85083a889a926d,,,dffc2009,,,1c,,,1c,,
null,,,null,,,0x0800,,,45.127.113.2,,,192.168.1.221,,,17,,,123,,,64334,,,0000000000000000,,,dc68c5a328711a1e,,,84a30465,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.221,,,203.135.184.123,,,17,,,57793,,,123,,,0000000000000000,,,dc8d1f10c721f727,,,47505300,,,24,,,24,,
null,,,null,,,0x0800,,,192.168.1.221,,,203.7.149.150,,,17,,,49885,,,123,,,0000000000000000,,,dc92496d56182220,,,cb2353f2,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.221,,,104.156.232.147,,,17,,,64270,,,123,,,0000000000000000,,,dc8b903c458fe841,,,c14fed0e,,,1c,,,1c,,
null,,,null,,,0x0800,,,129.250.35.251,,,192.168.1.221,,,17,,,123,,,62432,,,0000000000000000,,,dc8268c8bacaaca7,,,f9e063d5,,,1c,,,1c,,
null,,,null,,,0x0800,,,27.124.125.252,,,192.168.1.221,,,17,,,123,,,51476,,,0000000000000000,,,dc7f3ce33cdbc651,,,55c7d665,,,1c,,,1c,,
null,,,null,,,0x0800,,,129.250.35.250,,,192.168.1.221,,,17,,,123,,,60464,,,0000000000000000,,,dc9636a1529e2ac4,,,f9e063d5,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.221,,,203.135.184.123,,,17,,,59282,,,123,,,0000000000000000,,,dc98fe8017f4cc8f,,,47505300,,,24,,,24,,
null,,,null,,,0x0800,,,192.168.1.221,,,129.250.35.251,,,17,,,63839,,,123,,,0000000000000000,,,dc94c858d0e2bb39,,,f9e063d5,,,1c,,,1c,,
null,,,null,,,0x0800,,,150.101.176.226,,,192.168.1.221,,,17,,,123,,,58066,,,0000000000000000,,,dc7f3f828b536690,,,bb54b86a,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.221,,,203.122.222.149,,,17,,,52791,,,123,,,0000000000000000,,,dc9985edf0e1ccc8,,,cb7ae627,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.221,,,129.250.35.250,,,17,,,57556,,,123,,,0000000000000000,,,dc9767f09195df15,,,f9e063d5,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.221,,,202.60.94.15,,,17,,,59230,,,123,,,0000000000000000,,,dc7f3d6a1e28562a,,,dffc2009,,,1c,,,1c,,
null,,,null,,,0x0800,,,103.38.120.36,,,192.168.1.221,,,17,,,123,,,62815,,,0000000000000000,,,dc7f3fbba8922238,,,cb2353f2,,,1c,,,1c,,
