srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|cache control|server|method|unique service name|notification sub type|request version|search type|notification type|search target|uri,,
null|null|0x0800|192.168.1.249|239.255.255.250|17|40402|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|36023,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|48031,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|40668|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|37369,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|50387,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|48071,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|36078,,|null|null|null|null|null|null|null|null|null|null
null|null|0x86dd|fe80:0:0:0:216:6cff:feab:6b88|ff02:0:0:0:0:0:0:c|17|57320|1900|max-age=60|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|NOTIFY|uuid:Upnp-BasicDevice-1_0-00166CAB6B88::upnp:rootdevice|ssdp:alive|HTTP/1.1|null|upnp:rootdevice|null|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|40947,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|52918,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|37461,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|51752,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|38771,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|40655|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|36157,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.223|192.168.1.249|17|4751|1900,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.223|192.168.1.249|17|4752|1900,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.223|192.168.1.249|17|4753|1900,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.223|192.168.1.249|17|4754|1900,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.223|192.168.1.249|17|4755|1900,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.223|192.168.1.249|17|4756|1900,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.223|192.168.1.249|17|4758|1900,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.223|192.168.1.249|17|4759|1900,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|46745|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
