srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|chaddr|flags|giaddr|opcode|yiaddr|htype|xid|ciaddr|siaddr|ip lease time|sname|hops|hlen,,
null|null|0x0800|192.168.1.1|192.168.1.249|17|67|68|00166cab6b88|0.0|0.0|2.0|c0a801f9|1.0|4a98bd77|c0a801f9|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.1|192.168.1.248|17|67|68|00166cab6b88|0.0|0.0|2.0|c0a801f8|1.0|ce43d521|c0a801f8|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|192.168.1.1|192.168.1.249|17|67|68|00166cab6b88|0.0|0.0|2.0|c0a801f9|1.0|3ca81e19|c0a801f9|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.1|192.168.1.248|17|67|68|00166cab6b88|0.0|0.0|2.0|c0a801f8|1.0|ce43d521|c0a801f8|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|192.168.1.1|192.168.1.248|17|67|68|00166cab6b88|0.0|0.0|2.0|c0a801f8|1.0|ce43d521|c0a801f8|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.1|192.168.1.248|17|67|68|00166cab6b88|0.0|0.0|2.0|c0a801f8|1.0|7b16a523|c0a801f8|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.1|192.168.1.248|17|67|68|00166cab6b88|0.0|0.0|2.0|c0a801f8|1.0|bf0c9a65|c0a801f8|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.1|192.168.1.249|17|67|68|00166cab6b88|0.0|0.0|2.0|c0a801f9|1.0|6c11541b|c0a801f9|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.1|192.168.1.248|17|67|68|00166cab6b88|0.0|0.0|2.0|c0a801f8|1.0|b260af5e|00000000|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|192.168.1.1|192.168.1.248|17|67|68|00166cab6b88|0.0|0.0|2.0|c0a801f8|1.0|6781eb17|00000000|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|192.168.1.1|192.168.1.249|17|67|68|00166cab6b88|0.0|0.0|2.0|c0a801f9|1.0|8a682b03|c0a801f9|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.1|192.168.1.248|17|67|68|00166cab6b88|0.0|0.0|2.0|c0a801f8|1.0|5bef866a|c0a801f8|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|192.168.1.248|192.168.1.1|17|68|67|00166cab6b88|0.0|0.0|2.0|c0a801f8|1.0|41a36046|c0a801f8|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.248|192.168.1.1|17|68|67|00166cab6b88|0.0|0.0|2.0|c0a801f8|1.0|c0cbcb05|c0a801f8|c0a80101|0000a8c0|0.0|0.0|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67,,|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.248|192.168.1.1|17|68|67|00166cab6b88|0.0|0.0|2.0|c0a801f8|1.0|4718a73f|c0a801f8|c0a80101|0000a8c0|0.0|0.0|06,,
