srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|transaction id|flags|Qnumber,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|55336|53|fea8|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|55469|53|c8c7|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|33633|53|b9fc|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|57866|53|6c11|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|59031|53|231e|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|37461|53|6a36|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|57734|53|f2f7|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|35198|53|f16d|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|34963|53|41c2|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|59030|53|a488|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|60153|53|b389|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|60020|53|437c|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.249|17|53|36909|fac9|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|57868|53|c472|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|34962|53|9115|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.249|17|53|36903|148f|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.249|17|53|36905|4390|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.249|17|53|36900|c1a8|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|52839|53|dbdf|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.249|17|53|36901|260f|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|33630|53|32e4|8180.0|0001,,
null|null|0x0800|192.168.1.249|192.168.1.1|17|35900|53|1787|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.249|17|53|36919|014f|8180.0|0001,,
