srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|server|response-version|response phrase|status code,,
null|null|0x0800|192.168.1.249|104.98.5.24|6|47952|80|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|104.98.5.24|6|48184|80|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|23.12.64.41|192.168.1.249|6|80|44068|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|23.12.64.41|192.168.1.249|6|80|44067|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|23.12.64.41|192.168.1.249|6|80|44065|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4466|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|3134|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4467|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|23.12.64.41|192.168.1.249|6|80|44063|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|3133|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|23.12.64.41|192.168.1.249|6|80|44062|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4464|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|3136|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4465|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|3135|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|23.12.64.41|192.168.1.249|6|80|44060|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|3138|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|3137|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4468|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4469|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|3139|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4462|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|3130|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4463|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4460|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|3132|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4461|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|3131|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|23.12.64.41|6|43978|80|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|23.12.64.41|6|43845|80|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|23.12.64.41|6|43712|80|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|23.12.64.41|192.168.1.249|6|80|44078|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|23.12.64.41|192.168.1.249|6|80|44077|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4455|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|23.12.64.41|192.168.1.249|6|80|44075|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|3123|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4456|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|23.12.64.41|192.168.1.249|6|80|44074|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|104.98.5.24|6|49383|80|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|3122|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|104.98.5.24|6|49250|80|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4453|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|3125|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4454|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|23.12.64.41|192.168.1.249|6|80|44072|Apache/2.2.15 (Red Hat)|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|3124|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.249|192.168.1.193|6|49152|4459|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|HTTP/1.1|OK|200,,
