srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|origin timestamp|transmit timestamp|reference id|server version|server mode,,
null|null|0x0800|192.168.1.249|91.218.89.74|17|36779|123|dba219a8161b2a27|dba219a886c54c29|69f03821|1c|1c,,
null|null|0x0800|192.168.1.249|202.127.210.37|17|54935|123|dba2c26990384ba0|dba2c269cceeb50d|c0bd3621|1c|1c,,
null|null|0x0800|202.147.104.60|192.168.1.249|17|123|49218|db9b4450153a0c6b|db9b4450537c22d4|ca068376|1c|1c,,
null|null|0x0800|192.168.1.249|203.122.222.45|17|34523|123|db9a472e538aa001|db9a472e8fa1f2a8|4abd3a4e|1c|1c,,
null|null|0x0800|192.189.54.33|192.168.1.249|17|123|49864|db9cd38baf3e468c|db9cd38becd12000|825fb350|1c|1c,,
null|null|0x0800|192.168.1.249|198.60.22.240|17|45626|123|db999e67f599aa60|db999e68320f8064|584d4953|1c|1c,,
null|null|0x0800|129.6.15.28|192.168.1.249|17|123|48059|db9f222efdb25f63|db9f222f6517ac50|41435453|1c|1c,,
null|null|0x0800|110.21.101.199|192.168.1.249|17|123|44856|db9ecdce9cd64d7f|db9ecdcedc0a7366|50505300|1c|1c,,
null|null|0x0800|110.21.101.199|192.168.1.249|17|123|55892|dba01f56132f5558|dba01f564f41ec70|50505300|1c|1c,,
null|null|0x0800|130.102.128.23|192.168.1.249|17|123|55788|db9dd0ad6282517e|db9dd0ada3819068|40712005|1c|1c,,
null|null|0x0800|121.0.0.41|192.168.1.249|17|123|45061|db9e250dc6903643|db9e250e05a977ff|1b7c7dfb|1c|1c,,
null|null|0x0800|192.168.1.249|27.114.150.12|17|56892|123|db994a0714e1e710|db994a07a1d6601c|c1bee641|1c|1c,,
null|null|0x0800|192.168.1.249|203.100.61.10|17|50223|123|dba26e0923939a7c|dba26e0964f7ab66|50505300|1c|1c,,
null|null|0x0800|62.201.225.9|192.168.1.249|17|123|47507|db9c7f2afc332f01|db9c7f2b569dab4b|3ec9d6a2|1c|1c,,
null|null|0x0800|192.168.1.249|146.0.32.144|17|40789|123|db9d7c4c8fa1c25d|db9d7c4cf636895c|55d6f064|1c|1c,,
null|null|0x0800|192.168.1.249|41.73.42.10|17|43722|123|db9b98b08abf0132|db9b98b102428e92|c40a3439|1c|1c,,
null|null|0x0800|85.93.216.115|192.168.1.249|17|123|34381|db9f768fb45d52c1|db9f769011476b58|5ef2d082|1c|1c,,
null|null|0x0800|192.168.1.249|27.124.125.252|17|37586|123|db9c4171ce84be40|db9c417219279f9e|1b7c7dfa|1c|1c,,
null|null|0x0800|54.252.129.186|192.168.1.249|17|123|32849|dba1c542b2c32229|dba1c542f4c60684|ca068376|1c|1c,,
null|null|0x0800|192.168.1.249|103.38.120.36|17|52333|123|db9d27ec1de6cd29|db9d27ec5d64408f|dffc2009|1c|1c,,
null|null|0x0800|192.168.1.249|121.0.0.41|17|39750|123|db9aefefacbb7f9d|db9aefefe8f617ff|1b7c7dfb|1c|1c,,
null|null|0x0800|192.168.1.249|211.233.84.186|17|50093|123|dba0c81c04df15a4|dba0c81c626553ec|836b0d64|1c|1c,,
null|null|0x0800|192.168.1.249|202.127.210.37|17|40279|123|db98f5a115f59ccf|db98f5a157861964|c0bd3621|1c|1c,,
null|null|0x0800|192.168.1.249|129.250.35.251|17|41219|123|dba11c81bd25edd0|dba11c820ade6ce0|f9e063d5|1c|1c,,
null|null|0x0800|192.168.1.249|5.9.80.113|17|46897|123|dba316c9f7dd334c|dba316ca65cede73|c0356767|1c|1c,,
null|null|0x0800|192.168.1.249|78.46.37.9|17|35028|123|db9fcaf55ef4e011|db9fcaf5c484feb2|83bc03df|1c|1c,,
null|null|0x0800|192.168.1.249|213.175.93.20|17|57180|123|db9a9b8eb9c45458|db9a9b8f28cebef7|93e70206|1c|1c,,
null|null|0x0800|121.0.0.42|192.168.1.249|17|123|42284|db9e796e2826bb55|db9e796e6a60e7ff|c332ab65|1c|1c,,
null|null|0x0800|192.168.1.249|203.122.222.45|17|37919|123|dba073b672cacd18|dba073b6b1c02424|4abd3a4e|1c|1c,,
null|null|0x0800|202.127.210.36|192.168.1.249|17|123|38223|db9bed1167a50939|db9bed11a2b13dc0|67267824|1c|1c,,
null|null|0x0800|192.168.1.249|52.63.147.200|17|45927|123|db99f2cdee244630|db99f2ce2d37ecab|67ef0816|1c|1c,,
null|null|0x0800|211.233.84.186|192.168.1.249|17|123|45626|db999e6d5fb43d89|db999e6da83a7394|836b0d64|1c|1c,,
null|null|0x0800|192.168.1.249|54.252.165.245|17|44405|123|dba170e254eeae9e|dba170e29aa05052|ca15890a|1c|1c,,
null|null|0x0800|130.102.128.23|192.168.1.249|17|123|53887|dba4bcb71196a6a0|dba4bcb7510846ac|808a8c2c|1c|1c,,
null|null|0x0800|202.127.210.36|192.168.1.248|17|123|41260|dbae695c3ea64c2f|dbae695c7e8066c1|67267824|1c|1c,,
null|null|0x0800|130.102.128.23|192.168.1.249|17|123|47967|dbacc594b73a7978|dbacc594f9c233ee|40712005|1c|1c,,
null|null|0x0800|220.233.156.30|192.168.1.249|17|123|51631|dba6b6fa26cfd8f0|dba6b6fa650ecf97|50505300|1c|1c,,
null|null|0x0800|210.23.25.77|192.168.1.249|17|123|60247|dba80886ee8155d5|dba808873eb0a31f|47505300|24|24,,
null|null|0x0800|192.168.1.249|202.60.94.15|17|52236|123|dba7b4212f56eac8|dba7b42170d4ed4d|dffc2009|1c|1c,,
null|null|0x0800|192.189.54.17|192.168.1.249|17|123|33302|dbab0001a62c12ad|dbab0001e5e0d000|825fb350|1c|1c,,
