srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,authentication_credential,,,method,,,host,,,request-version,,,uri,,,authentication_type,,,user-agent,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.221.127.70,,,6,,,48849,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.220.147.223,,,192.168.1.143,,,6,,,80,,,58148,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.77.191.7,,,192.168.1.143,,,6,,,80,,,44692,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,54.179.142.25,,,6,,,43448,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.77.191.7,,,192.168.1.143,,,6,,,80,,,43360,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.220.82.120,,,6,,,44567,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.77.36.62,,,192.168.1.143,,,6,,,80,,,38245,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.220.239.112,,,192.168.1.143,,,6,,,80,,,45652,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.77.191.7,,,192.168.1.143,,,6,,,80,,,43358,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.77.11.250,,,192.168.1.143,,,6,,,80,,,56828,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.220.82.120,,,192.168.1.143,,,6,,,80,,,41820,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.77.49.32,,,6,,,36312,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,54.254.170.235,,,192.168.1.143,,,6,,,80,,,54981,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.220.255.1,,,192.168.1.143,,,6,,,80,,,32804,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.74.117.156,,,6,,,40834,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.76.201.235,,,6,,,40382,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.220.147.223,,,192.168.1.143,,,6,,,80,,,47486,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.74.117.156,,,6,,,45119,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,54.179.144.186,,,192.168.1.143,,,6,,,80,,,57608,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.77.191.7,,,192.168.1.143,,,6,,,80,,,42041,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.221.149.2,,,192.168.1.143,,,6,,,80,,,52018,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.221.17.78,,,192.168.1.143,,,6,,,80,,,33612,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,54.169.65.77,,,6,,,35538,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.220.239.112,,,6,,,47139,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.77.49.32,,,6,,,36579,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.74.148.203,,,6,,,51943,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.221.127.70,,,6,,,56160,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.220.239.112,,,192.168.1.143,,,6,,,80,,,57657,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,54.169.65.77,,,6,,,37937,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.74.73.19,,,6,,,55685,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,54.179.144.186,,,6,,,44244,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.74.117.156,,,6,,,38643,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,54.169.65.77,,,6,,,46805,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.76.201.235,,,192.168.1.143,,,6,,,80,,,40877,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,54.255.158.82,,,6,,,56148,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,54.254.170.235,,,192.168.1.143,,,6,,,80,,,40304,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.74.117.156,,,6,,,55098,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.221.12.125,,,6,,,47963,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.76.93.148,,,6,,,54420,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.220.78.233,,,192.168.1.143,,,6,,,80,,,54924,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.77.191.7,,,6,,,55017,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,52.77.191.7,,,192.168.1.143,,,6,,,80,,,55301,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
null,,,null,,,0x0800,,,192.168.1.143,,,54.254.251.1,,,6,,,57628,,,80,,,,,,GET,,,aps1-relay.tplinkcloud.com,,,HTTP/1.0,,, /status,,,,,,hehe,,
