srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,origin timestamp,,,client mode,,,transmit timestamp,,,client version,,
null,,,null,,,0x0800,,,59.125.122.217,,,192.168.1.143,,,17,,,123,,,41152,,,0000000000000000,,,1b,,,dc74408b5da21e9f,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,150.101.112.134,,,17,,,33251,,,123,,,0000000000000000,,,1b,,,dc7d801543cefaa1,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,13.55.50.68,,,17,,,40287,,,123,,,0000000000000000,,,1b,,,dc97ecc068237474,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,13.55.50.68,,,17,,,50960,,,123,,,0000000000000000,,,1b,,,dc635f08b8d045f6,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,192.189.54.33,,,17,,,56177,,,123,,,0000000000000000,,,1b,,,dc841b3e71a9eb1b,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,103.236.162.131,,,17,,,48542,,,123,,,0000000000000000,,,1b,,,dc72ee5bdaee6316,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,74.117.214.3,,,17,,,55184,,,123,,,0000000000000000,,,1b,,,dc7c2de140d466f2,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,27.124.125.252,,,17,,,39048,,,123,,,0000000000000000,,,1b,,,dc93f60b07f76a2e,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,103.38.121.36,,,17,,,59415,,,123,,,0000000000000000,,,1b,,,db9de95818f4a557,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,27.124.125.251,,,17,,,39155,,,123,,,0000000000000000,,,1b,,,dc6626c47eaee1fa,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,13.55.50.68,,,17,,,52846,,,123,,,0000000000000000,,,1b,,,dc86bfbbadf47f91,,,1b,,
null,,,null,,,0x0800,,,27.124.125.250,,,192.168.1.143,,,17,,,123,,,59814,,,0000000000000000,,,1b,,,dc8c08878250a457,,,1b,,
null,,,null,,,0x0800,,,69.164.202.202,,,192.168.1.143,,,17,,,123,,,34580,,,0000000000000000,,,1b,,,dc7592d8cc117f7b,,,1b,,
null,,,null,,,0x0800,,,129.250.35.251,,,192.168.1.143,,,17,,,123,,,35323,,,0000000000000000,,,1b,,,dc92a3c627ee4e25,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,129.250.35.250,,,17,,,52738,,,123,,,0000000000000000,,,1b,,,dc7adbae980f01f5,,,1b,,
null,,,null,,,0x0800,,,27.124.125.250,,,192.168.1.143,,,17,,,123,,,35801,,,0000000000000000,,,1b,,,dc78373998ed6fd4,,,1b,,
null,,,null,,,0x0800,,,129.250.35.251,,,192.168.1.143,,,17,,,123,,,53207,,,0000000000000000,,,1b,,,dc856d7044c62e4a,,,1b,,
null,,,null,,,0x0800,,,103.38.120.36,,,192.168.1.143,,,17,,,123,,,52576,,,0000000000000000,,,1b,,,dc82c8ef83669483,,,1b,,
null,,,null,,,0x0800,,,192.189.54.33,,,192.168.1.143,,,17,,,123,,,46103,,,0000000000000000,,,1b,,,dc76e50949348b1e,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,27.124.125.252,,,17,,,47486,,,123,,,0000000000000000,,,1b,,,dc993ef1036eb4e9,,,1b,,
null,,,null,,,0x0800,,,129.250.35.250,,,192.168.1.143,,,17,,,123,,,57464,,,0000000000000000,,,1b,,,dc8d5aba1e273928,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,13.55.50.68,,,17,,,40101,,,123,,,0000000000000000,,,1b,,,dc68cb3809cbee80,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,104.156.232.147,,,17,,,52034,,,123,,,0000000000000000,,,1b,,,d78fcbddc3ef6b54,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,121.0.0.41,,,17,,,37102,,,123,,,0000000000000000,,,1b,,,db9b44c1ebe72965,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,13.55.50.68,,,17,,,39351,,,123,,,0000000000000000,,,1b,,,dc79897d2c33a470,,,1b,,
null,,,null,,,0x0800,,,45.63.31.8,,,192.168.1.143,,,17,,,123,,,45408,,,0000000000000000,,,1b,,,d78e13007f92295d,,,1b,,
null,,,null,,,0x0800,,,13.55.50.68,,,192.168.1.143,,,17,,,123,,,39570,,,0000000000000000,,,1b,,,dc8176c08335b0b6,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,14.202.204.182,,,17,,,42399,,,123,,,0000000000000000,,,1b,,,dc8964247098c3ab,,,1b,,
null,,,null,,,0x0800,,,103.38.120.36,,,192.168.1.143,,,17,,,123,,,38089,,,0000000000000000,,,1b,,,dc8eaced1f09fa53,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,216.229.0.49,,,17,,,46455,,,123,,,0000000000000000,,,1b,,,dc95483b0247778d,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,192.189.54.33,,,17,,,33808,,,123,,,0000000000000000,,,1b,,,db99f291ba0b3d43,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,129.250.35.251,,,17,,,54598,,,123,,,0000000000000000,,,1b,,,dc64d49458a3725c,,,1b,,
null,,,null,,,0x0800,,,202.127.210.37,,,192.168.1.143,,,17,,,123,,,44508,,,0000000000000000,,,1b,,,db9c970bf374eeb5,,,1b,,
null,,,null,,,0x0800,,,27.124.125.251,,,192.168.1.143,,,17,,,123,,,42897,,,0000000000000000,,,1b,,,dc969a6a5d8904f2,,,1b,,
null,,,null,,,0x0800,,,192.189.54.17,,,192.168.1.143,,,17,,,123,,,52263,,,0000000000000000,,,1b,,,d78e1304de785b52,,,1b,,
null,,,null,,,0x0800,,,27.124.125.251,,,192.168.1.143,,,17,,,123,,,48838,,,0000000000000000,,,1b,,,dc8fff4abdc1d6c7,,,1b,,
null,,,null,,,0x0800,,,129.250.35.251,,,192.168.1.143,,,17,,,123,,,36974,,,0000000000000000,,,1b,,,dc7ed259f5c347de,,,1b,,
null,,,null,,,0x0800,,,54.252.165.245,,,192.168.1.143,,,17,,,123,,,42116,,,0000000000000000,,,1b,,,dc6778f465d49513,,,1b,,
null,,,null,,,0x0800,,,129.250.35.250,,,192.168.1.143,,,17,,,123,,,33951,,,0000000000000000,,,1b,,,dc91517ccfd848f9,,,1b,,
null,,,null,,,0x0800,,,27.124.125.251,,,192.168.1.143,,,17,,,123,,,53633,,,0000000000000000,,,1b,,,dc8811ebc0cab3e5,,,1b,,
null,,,null,,,0x0800,,,192.168.1.143,,,150.101.176.226,,,17,,,55240,,,123,,,0000000000000000,,,1b,,,dc80248d5f3d3a19,,,1b,,
