srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,server,,,response-version,,,response phrase,,,status code,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.221.127.70,,,6,,,48849,,,80,,,relayd,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,52.220.147.223,,,192.168.1.143,,,6,,,80,,,58148,,,relayd,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,52.77.191.7,,,192.168.1.143,,,6,,,80,,,44692,,,relayd,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,192.168.1.143,,,54.179.142.25,,,6,,,43448,,,80,,,relayd,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,52.77.191.7,,,192.168.1.143,,,6,,,80,,,43360,,,relayd,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.220.82.120,,,6,,,44567,,,80,,,relayd,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,52.77.36.62,,,192.168.1.143,,,6,,,80,,,38245,,,relayd,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,52.220.239.112,,,192.168.1.143,,,6,,,80,,,45652,,,relayd,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,52.77.191.7,,,192.168.1.143,,,6,,,80,,,43358,,,relayd,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,52.77.11.250,,,192.168.1.143,,,6,,,80,,,56828,,,relayd,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,52.220.82.120,,,192.168.1.143,,,6,,,80,,,41820,,,relayd,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.77.49.32,,,6,,,36312,,,80,,,relayd,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,54.254.170.235,,,192.168.1.143,,,6,,,80,,,54981,,,relayd,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,52.220.255.1,,,192.168.1.143,,,6,,,80,,,32804,,,relayd,,,HTTP/1.1,,,OK,,,200,,
