srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,origin timestamp,,,transmit timestamp,,,reference id,,,server version,,,server mode,,
null,,,null,,,0x0800,,,59.125.122.217,,,192.168.1.143,,,17,,,123,,,41152,,,dc74408b5da21e9f,,,dc74408d3de71c81,,,47505300,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.143,,,150.101.112.134,,,17,,,33251,,,123,,,dc7d801543cefaa1,,,dc7d8015eeff8c64,,,47505300,,,24,,,24,,
null,,,null,,,0x0800,,,192.168.1.143,,,13.55.50.68,,,17,,,40287,,,123,,,dc97ecc068237474,,,dc97ecc1c39b67bd,,,36ce6dbb,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.143,,,13.55.50.68,,,17,,,50960,,,123,,,dc635f08b8d045f6,,,dc635f0aa4f23320,,,36ce6dbb,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.143,,,192.189.54.33,,,17,,,56177,,,123,,,dc841b3e71a9eb1b,,,dc841b3fc2015000,,,cb2353f2,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.143,,,103.236.162.131,,,17,,,48542,,,123,,,dc72ee5bdaee6316,,,dc72ee5dc1bb108c,,,bb54b86a,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.143,,,74.117.214.3,,,17,,,55184,,,123,,,dc7c2de140d466f2,,,dc7c2de27e3faf6b,,,47505300,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.143,,,27.124.125.252,,,17,,,39048,,,123,,,dc93f60b07f76a2e,,,dc93f60bdb28222a,,,1b7c7dfa,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.143,,,103.38.121.36,,,17,,,59415,,,123,,,db9de95818f4a557,,,db9de958ecc40d3c,,,dffc2009,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.143,,,27.124.125.251,,,17,,,39155,,,123,,,dc6626c47eaee1fa,,,dc6626c5eaa13aee,,,82d9e231,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.143,,,13.55.50.68,,,17,,,52846,,,123,,,dc86bfbbadf47f91,,,dc86bfbcc10fa1a6,,,36ce6dbb,,,1c,,,1c,,
null,,,null,,,0x0800,,,27.124.125.250,,,192.168.1.143,,,17,,,123,,,59814,,,dc8c08878250a457,,,dc8c08889852ef51,,,da642b46,,,1c,,,1c,,
null,,,null,,,0x0800,,,69.164.202.202,,,192.168.1.143,,,17,,,123,,,34580,,,dc7592d8cc117f7b,,,dc7592da279174bf,,,c0a8949b,,,1c,,,1c,,
null,,,null,,,0x0800,,,129.250.35.251,,,192.168.1.143,,,17,,,123,,,35323,,,dc92a3c627ee4e25,,,dc92a3c7b26cbec0,,,f9e063d5,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.143,,,129.250.35.250,,,17,,,52738,,,123,,,dc7adbae980f01f5,,,dc7adbaf12002f36,,,f9e063d5,,,1c,,,1c,,
null,,,null,,,0x0800,,,27.124.125.250,,,192.168.1.143,,,17,,,123,,,35801,,,dc78373998ed6fd4,,,dc78373a41435d7b,,,f2478fa9,,,1c,,,1c,,
