srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,transaction id,,,flags,,,Qnumber,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,44486,,,64bd,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,43157,,,02e6,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,43156,,,5fed,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,44481,,,5366,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,43153,,,b5be,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,36280,,,53,,,e074,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,35309,,,53,,,a153,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,56552,,,53,,,9cea,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,54289,,,53,,,8822,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,56463,,,ca46,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,36508,,,53,,,4a53,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,44489,,,cb0d,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,43158,,,debd,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,57883,,,53,,,e2b7,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,55486,,,53,,,244c,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,44497,,,6df0,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,43165,,,f4b5,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,44491,,,d80f,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,39900,,,002b,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,53925,,,53,,,db44,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,39909,,,f4c0,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,43988,,,53,,,8479,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,55143,,,3ae7,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,40125,,,53,,,4363,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,55354,,,53,,,3c6d,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,49339,,,53,,,c5a7,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,45796,,,b13f,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,45795,,,f580,,,0100,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,33653,,,53,,,edfa,,,0100,,,0001,,
