srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,origin timestamp,,,client mode,,,transmit timestamp,,,client version,,
null,,,null,,,0x0800,,,192.168.1.120,,,203.173.10.97,,,17,,,123,,,123,,,0000000000000000,,,e3,,,db9b389062b59ff4,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,129.250.35.251,,,17,,,123,,,123,,,0000000000000000,,,e3,,,db9ddcd013f442c7,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,103.38.120.36,,,17,,,123,,,123,,,0000000000000000,,,e3,,,db9b38902f828750,,,e3,,
null,,,null,,,0x0800,,,54.252.165.245,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,db9e863836fb0652,,,e3,,
null,,,null,,,0x0800,,,45.32.189.94,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,83aa7f27e835569b,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,203.19.252.1,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dbe006cd7079ed49,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,27.124.125.251,,,17,,,123,,,123,,,0000000000000000,,,e3,,,db9d33d3a0713971,,,e3,,
null,,,null,,,0x0800,,,178.32.80.7,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dba26c7755032c2b,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,5.9.39.18,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dba5b911bb80ae0b,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,129.6.15.28,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dba9ae641ee55aab,,,e3,,
null,,,null,,,0x0800,,,83.151.158.44,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dbe7491cbac379e7,,,e3,,
null,,,null,,,0x0800,,,194.190.168.1,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dc3068c908c23048,,,e3,,
null,,,null,,,0x0800,,,130.102.128.23,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dba4677c44cc761c,,,e3,,
null,,,null,,,0x0800,,,193.228.143.24,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dbe7491c879054b2,,,e3,,
null,,,null,,,0x0800,,,194.54.80.29,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dc3068c8a25e790b,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,150.101.221.106,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dbc78c729c3c4374,,,e3,,
null,,,null,,,0x0800,,,91.218.89.74,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dbc986b85c9badc5,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,87.106.126.46,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dbe7491934f573f1,,,e3,,
null,,,null,,,0x0800,,,115.187.159.2,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dc7857394a0b59f6,,,e3,,
null,,,null,,,0x0800,,,213.136.86.203,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,83b11860dad20625,,,e3,,
null,,,null,,,0x0800,,,203.7.149.149,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dc41282117f10d62,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,151.236.222.81,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dba9ae72a4a125c3,,,e3,,
null,,,null,,,0x0800,,,121.0.0.42,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,db993da54bac439d,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,130.95.13.1,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dc7e4782b4029835,,,e3,,
null,,,null,,,0x0800,,,185.19.196.101,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dba5b911884f4d1e,,,e3,,
null,,,null,,,0x0800,,,69.28.90.107,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dba1c3b1d709f8d2,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.189.54.33,,,17,,,123,,,123,,,0000000000000000,,,e3,,,db99e6b47168dcf0,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,49.176.208.19,,,17,,,123,,,123,,,0000000000000000,,,e3,,,db9a8fa68e6d00b4,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,223.252.23.219,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dbb405c8482e3986,,,e3,,
null,,,null,,,0x0800,,,103.51.68.133,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,db9b388ffc50a45d,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,208.75.88.4,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dbca2f7d5c50eb88,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,203.114.73.24,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dc3fd61451e976bc,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,110.21.101.199,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dbaf66689f05e6a3,,,e3,,
null,,,null,,,0x0800,,,203.122.222.149,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,dba70aef48fe5161,,,e3,,
null,,,null,,,0x0800,,,45.63.31.8,,,192.168.1.120,,,17,,,123,,,123,,,0000000000000000,,,e3,,,83aa7f27b502c4e3,,,e3,,
null,,,null,,,0x0800,,,192.168.1.120,,,203.122.222.45,,,17,,,123,,,123,,,0000000000000000,,,e3,,,db9b389362666234,,,e3,,
