srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,transaction id,,,flags,,,Qnumber,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,44486,,,64bd,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,43157,,,02e6,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,43156,,,5fed,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,44481,,,5366,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,43153,,,b5be,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,36280,,,53,,,e074,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,35309,,,53,,,a153,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,56552,,,53,,,9cea,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,54289,,,53,,,8822,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,56463,,,ca46,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,36508,,,53,,,4a53,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,44489,,,cb0d,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,43158,,,debd,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,57883,,,53,,,e2b7,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,55486,,,53,,,244c,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,44497,,,6df0,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,43165,,,f4b5,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,44491,,,d80f,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,39900,,,002b,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,53925,,,53,,,db44,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,39909,,,f4c0,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,43988,,,53,,,8479,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,55143,,,3ae7,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,40125,,,53,,,4363,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,55354,,,53,,,3c6d,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,49339,,,53,,,c5a7,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,45796,,,b13f,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,45795,,,f580,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,33653,,,53,,,edfa,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,57777,,,42ab,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,46708,,,53,,,453d,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,57774,,,f007,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,51658,,,53,,,b2bf,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,54025,,,53,,,861f,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,51525,,,53,,,e155,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,55113,,,6fc9,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,56444,,,5a69,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,43852,,,53,,,2567,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,55114,,,7b09,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,56441,,,9e9f,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,40128,,,53,,,a402,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,42787,,,53,,,46ee,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,44467,,,af7a,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,45798,,,6e9a,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,43144,,,74e6,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,55127,,,6b8a,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,56459,,,91f3,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,55125,,,b2ae,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,57781,,,971f,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,40127,,,53,,,b538,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,42788,,,53,,,9a53,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,43149,,,af76,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,43110,,,6915,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,57622,,,53,,,b0b8,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,43119,,,d3d6,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,44445,,,4e8e,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,36504,,,53,,,3010,,,8180,,,0001,,
null,,,null,,,0x0800,,,192.168.1.1,,,192.168.1.120,,,17,,,53,,,45777,,,af34,,,8180,,,0001,,
