srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,server,,,response-version,,,response phrase,,,status code,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,32835,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,32830,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,192.168.1.239,,,192.168.1.120,,,6,,,42956,,,80,,,,,,HTTP/1.1,,,Not Found,,,404,,
null,,,null,,,0x0800,,,194.68.30.131,,,192.168.1.120,,,6,,,80,,,46731,,,nginx,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,61000,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,192.168.1.120,,,52.62.218.228,,,6,,,58820,,,80,,,Icecast 2.4.2,,,HTTP/1.0,,,OK,,,200,,
null,,,null,,,0x0800,,,194.68.30.99,,,192.168.1.120,,,6,,,80,,,48576,,,nginx,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,91.121.58.223,,,192.168.1.120,,,6,,,80,,,60388,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,192.168.1.120,,,52.62.218.228,,,6,,,42777,,,80,,,Icecast 2.4.2,,,HTTP/1.0,,,OK,,,200,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,38323,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,192.168.1.120,,,52.62.218.228,,,6,,,58817,,,80,,,Icecast 2.4.2,,,HTTP/1.0,,,OK,,,200,,
null,,,null,,,0x0800,,,192.168.1.120,,,52.62.218.228,,,6,,,58818,,,80,,,Icecast 2.4.2,,,HTTP/1.0,,,OK,,,200,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,32970,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,192.168.1.239,,,192.168.1.120,,,6,,,36576,,,80,,,,,,HTTP/1.1,,,Not Found,,,404,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,32849,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,32977,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,91.121.58.223,,,192.168.1.120,,,6,,,80,,,55852,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,103.52.193.17,,,192.168.1.120,,,6,,,80,,,41055,,,nginx/1.6.3,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,103.52.193.17,,,192.168.1.120,,,6,,,80,,,41052,,,nginx/1.6.3,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,194.68.30.83,,,192.168.1.120,,,6,,,80,,,43126,,,nginx,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,55990,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,45.32.147.89,,,192.168.1.120,,,6,,,80,,,47473,,,Apache/2.4.12 (Ubuntu),,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,45.32.147.89,,,192.168.1.120,,,6,,,80,,,47472,,,Apache/2.4.12 (Ubuntu),,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,45.32.147.89,,,192.168.1.120,,,6,,,80,,,47475,,,Apache/2.4.12 (Ubuntu),,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,55995,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,32853,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,55992,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,55993,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,32851,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,55997,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,192.168.1.239,,,192.168.1.120,,,6,,,44993,,,80,,,,,,HTTP/1.1,,,Not Found,,,404,,
null,,,null,,,0x0800,,,192.168.1.120,,,91.121.58.223,,,6,,,33085,,,80,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,194.68.30.66,,,192.168.1.120,,,6,,,80,,,33198,,,nginx,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,91.121.58.223,,,192.168.1.120,,,6,,,80,,,32812,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,91.121.58.223,,,192.168.1.120,,,6,,,80,,,32814,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,91.121.58.223,,,192.168.1.120,,,6,,,80,,,32826,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
null,,,null,,,0x0800,,,91.121.58.223,,,192.168.1.120,,,6,,,80,,,32828,,,Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g,,,HTTP/1.1,,,Partial Content,,,206,,
