srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,origin timestamp,,,transmit timestamp,,,reference id,,,server version,,,server mode,,
null,,,null,,,0x0800,,,192.168.1.120,,,203.173.10.97,,,17,,,123,,,123,,,db9b389062b59ff4,,,db9b388c4f6a5e42,,,cb00b2bf,,,1c,,,1c,,
null,,,null,,,0x0800,,,192.168.1.120,,,129.250.35.251,,,17,,,123,,,123,,,db9ddcd013f442c7,,,db9ddccde35a5d3b,,,f9e063d5,,,24,,,24,,
null,,,null,,,0x0800,,,192.168.1.120,,,103.38.120.36,,,17,,,123,,,123,,,db9b38902f828750,,,db9b388c15ae55d3,,,ca068376,,,24,,,24,,
null,,,null,,,0x0800,,,54.252.165.245,,,192.168.1.120,,,17,,,123,,,123,,,db9e863836fb0652,,,db9e863674402d78,,,ca15890a,,,24,,,24,,
null,,,null,,,0x0800,,,45.32.189.94,,,192.168.1.120,,,17,,,123,,,123,,,83aa7f27e835569b,,,dc2a7807bf428600,,,cb2353f2,,,24,,,24,,
null,,,null,,,0x0800,,,192.168.1.120,,,203.19.252.1,,,17,,,123,,,123,,,dbe006cd7079ed49,,,dbe006cb67e89af8,,,d209c032,,,24,,,24,,
null,,,null,,,0x0800,,,192.168.1.120,,,27.124.125.251,,,17,,,123,,,123,,,db9d33d3a0713971,,,db9d33cfa6236f4a,,,82d9e231,,,24,,,24,,
null,,,null,,,0x0800,,,178.32.80.7,,,192.168.1.120,,,17,,,123,,,123,,,dba26c7755032c2b,,,dba26c75900c52c6,,,d5fb80f9,,,24,,,24,,
null,,,null,,,0x0800,,,192.168.1.120,,,5.9.39.18,,,17,,,123,,,123,,,dba5b911bb80ae0b,,,dba5b90d9b2e770e,,,c035676c,,,24,,,24,,
null,,,null,,,0x0800,,,192.168.1.120,,,129.6.15.28,,,17,,,123,,,123,,,dba9ae641ee55aab,,,dba9ae609e1e6552,,,41435453,,,24,,,24,,
null,,,null,,,0x0800,,,83.151.158.44,,,192.168.1.120,,,17,,,123,,,123,,,dbe7491cbac379e7,,,dbe7491a02ec2ada,,,c0a8c703,,,24,,,24,,
null,,,null,,,0x0800,,,194.190.168.1,,,192.168.1.120,,,17,,,123,,,123,,,dc3068c908c23048,,,dc3068c72b110bed,,,50505300,,,24,,,24,,
null,,,null,,,0x0800,,,130.102.128.23,,,192.168.1.120,,,17,,,123,,,123,,,dba4677c44cc761c,,,dba4677785fd0bb5,,,40712005,,,24,,,24,,
null,,,null,,,0x0800,,,193.228.143.24,,,192.168.1.120,,,17,,,123,,,123,,,dbe7491c879054b2,,,dbe74919d092cc31,,,c0249016,,,24,,,24,,
null,,,null,,,0x0800,,,194.54.80.29,,,192.168.1.120,,,17,,,123,,,123,,,dc3068c8a25e790b,,,dc3068c6c96d6e23,,,4e9aab3e,,,24,,,24,,
null,,,null,,,0x0800,,,192.168.1.120,,,150.101.221.106,,,17,,,123,,,123,,,dbc78c729c3c4374,,,dbc78c72f506f854,,,1b7c7dfa,,,24,,,24,,
null,,,null,,,0x0800,,,91.218.89.74,,,192.168.1.120,,,17,,,123,,,123,,,dbc986b85c9badc5,,,dbc986b8db97a407,,,69f03821,,,24,,,24,,
null,,,null,,,0x0800,,,192.168.1.120,,,87.106.126.46,,,17,,,123,,,123,,,dbe7491934f573f1,,,dbe74916889652a0,,,c035676c,,,24,,,24,,
null,,,null,,,0x0800,,,115.187.159.2,,,192.168.1.120,,,17,,,123,,,123,,,dc7857394a0b59f6,,,dc785736ce1110cd,,,47505300,,,24,,,24,,
null,,,null,,,0x0800,,,213.136.86.203,,,192.168.1.120,,,17,,,123,,,123,,,83b11860dad20625,,,dbec8bb8243db6f0,,,c0356767,,,24,,,24,,
null,,,null,,,0x0800,,,203.7.149.149,,,192.168.1.120,,,17,,,123,,,123,,,dc41282117f10d62,,,dc41281ef545efb3,,,cb2353f2,,,24,,,24,,
null,,,null,,,0x0800,,,192.168.1.120,,,151.236.222.81,,,17,,,123,,,123,,,dba9ae72a4a125c3,,,dba9ae6f1e8b84ca,,,67079704,,,24,,,24,,
null,,,null,,,0x0800,,,121.0.0.42,,,192.168.1.120,,,17,,,123,,,123,,,db993da54bac439d,,,db993da40fa0f7ff,,,2a80d36a,,,24,,,24,,
null,,,null,,,0x0800,,,192.168.1.120,,,130.95.13.1,,,17,,,123,,,123,,,dc7e4782b4029835,,,dc7e477ed0027a47,,,cb87b87b,,,24,,,24,,
null,,,null,,,0x0800,,,185.19.196.101,,,192.168.1.120,,,17,,,123,,,123,,,dba5b911884f4d1e,,,dba5b90d6c95182a,,,50505300,,,24,,,24,,
null,,,null,,,0x0800,,,69.28.90.107,,,192.168.1.120,,,17,,,123,,,123,,,dba1c3b1d709f8d2,,,dba1c3b1f77a1c17,,,40712005,,,24,,,24,,
