srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,method,,,host,,,request-version,,,uri,,,user-agent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55252,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,43573,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/once,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55251,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55250,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,52445,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,57471,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/session,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55245,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/session,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55244,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/once,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55240,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,43572,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,47627,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,56140,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,56572,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55249,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/session,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55248,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/session,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55247,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/once,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,56575,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55246,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/session,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,54976,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,54843,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,57470,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/session,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,43266,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55276,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,47626,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,47759,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,57340,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/session,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,43295,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,43296,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,47625,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55266,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,43441,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,56593,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,43574,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/session,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,54845,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,57472,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,42376,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,57875,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/once,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,57876,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/session,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,56143,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,57877,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/session,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,57879,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,56010,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/session,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,51242,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/session,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,39951,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,58540,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,58673,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/presence,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,56542,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,57874,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,56543,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,45897,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,43235,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,40815,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/measure,,,Withings UserAgent,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,40948,,,80,,,POST,,,babyws.withings.net,,,HTTP/1.1,,, /cgi-bin/event,,,Withings UserAgent,,
