srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,server,,,response-version,,,response phrase,,,status code,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55252,,,Apache,,,HTTP/1.1,,,Continue,,,100,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,43573,,,80,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55251,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55250,,,Apache,,,HTTP/1.1,,,Continue,,,100,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,52445,,,80,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,57471,,,80,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55245,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55244,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55240,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,43572,,,80,,,Apache,,,HTTP/1.1,,,Continue,,,100,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,47627,,,80,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,56140,,,80,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,56572,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55249,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55248,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55247,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,56575,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55246,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,54976,,,80,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,54843,,,80,,,Apache,,,HTTP/1.1,,,Continue,,,100,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,57470,,,80,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,43266,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55276,,,Apache,,,HTTP/1.1,,,Continue,,,100,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,47626,,,80,,,Apache,,,HTTP/1.1,,,Continue,,,100,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,47759,,,80,,,Apache,,,HTTP/1.1,,,Continue,,,100,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,57340,,,80,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,43295,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,43296,,,Apache,,,HTTP/1.1,,,Continue,,,100,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,47625,,,80,,,Apache,,,HTTP/1.1,,,OK,,,200,,
null,,,null,,,0x0800,,,89.30.121.150,,,192.168.1.166,,,6,,,80,,,55266,,,Apache,,,HTTP/1.1,,,Continue,,,100,,
null,,,null,,,0x0800,,,192.168.1.166,,,89.30.121.150,,,6,,,43441,,,80,,,Apache,,,HTTP/1.1,,,Continue,,,100,,
