srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|transaction id|flags|Qnumber,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|48480|53|7fcf|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|49906|53|afc1|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|55921|53|a14d|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|45763|8d6b|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|42388|53|52a5|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|43101|c333|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|42122|53|e84e|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|56427|b859|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|57758|416a|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|57759|d1b4|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|43588|53|eef6|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|33774|d7ff|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|43455|53|c061|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|56430|e0ad|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|57762|e58d|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|39835|53|22e2|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|46082|53|e766|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|57766|d99e|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|44428|523d|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|58909|53|db49|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|44427|78f5|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|44653|53|4a32|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|44520|53|448a|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|44420|eb9f|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|44421|1d4d|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|45751|9020|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|45750|90e0|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|42387|53|99b2|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|42121|53|ba3f|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|45755|6ace|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|56438|c1d3|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|57769|a7ad|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|37308|53|01e7|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|56442|d93d|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|55110|8a31|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|51258|53|76bf|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|56448|3193|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|56447|e172|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|42124|53|698f|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|38768|53|dee0|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|45745|7939|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|45742|9d5d|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|44412|9476|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|55119|fc30|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|33767|51f7|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|56453|067a|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|57785|52f0|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|33753|4938|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|41058|53|5f7a|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|33755|ee69|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|55126|3748|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|59008|53|e08a|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|39833|53|8d23|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|53787|53|2766|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|53654|53|544b|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|44651|53|3ae9|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|55133|d84e|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|57796|ba2c|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|33741|a7ed|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|33742|89eb|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|60127|53|d150|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|55136|2cd2|8180.0|0001,,
null|null|0x0800|192.168.1.156|192.168.1.1|17|41186|53|487e|8180.0|0001,,
null|null|0x0800|192.168.1.1|192.168.1.156|17|53|57798|d0c9|8180.0|0001,,
