srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|server|response-version|response phrase|status code,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|35925|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|36157|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|38687|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|38554|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|38421|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|36024|80|Apache|HTTP/1.1|Continue|100,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|37489|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|34727|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|37223|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|39620|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|36289|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|35924|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|38555|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|38688|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|38422|80|Apache|HTTP/1.1|Continue|100,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|36156|80|Apache|HTTP/1.1|Continue|100,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|36023|80|Apache|HTTP/1.1|Continue|100,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|34726|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|34859|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|37224|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|38689|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|38556|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|35923|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|38423|80|Apache|HTTP/1.1|Continue|100,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|36022|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|36155|80|Apache|HTTP/1.1|Continue|100,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|36288|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|34858|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|34725|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|37225|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|39622|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|38557|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|38424|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|35922|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|36154|80|Apache|HTTP/1.1|Continue|100,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|36021|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|36287|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|35089|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|37226|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|34724|80|Apache|HTTP/1.1|OK|200,,
null|null|0x0800|192.168.1.156|89.30.121.150|6|34857|80|Apache|HTTP/1.1|OK|200,,
