srcMac, dstMac, ethType, srcIp, dstIp, ipProto, srcPort, dstPort, protocol, allMatches, numPayloadOnePackets, numPayloadTwoPackets
null,null,0x0800,192.168.1.152,8.8.8.8,17,30209,53,dns,dns|,1,1
null,null,0x0800,192.168.1.152,59.125.122.217,17,123,123,ntp,ntp|,7,7
null,null,0x0800,192.168.1.152,192.168.1.1,17,30131,53,dns,dns|,4,4
null,null,0x0800,192.168.1.152,8.8.8.8,17,30427,53,dns,dns|,1,1
null,null,0x0800,203.19.252.4,192.168.1.152,17,123,123,ntp,ntp|,1,1
null,null,0x0800,192.168.1.152,52.34.186.24,6,40348,443,tls,tls|,6,5
null,null,0x0800,45.79.111.114,192.168.1.152,17,123,123,ntp,ntp|,1,1
null,null,0x0800,192.168.1.152,54.244.22.196,6,57389,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,192.168.1.1,17,30398,53,dns,dns|,1,1
null,null,0x0800,192.168.1.152,192.168.1.1,17,30265,53,dns,dns|,2,2
null,null,0x0800,192.168.1.152,192.168.1.1,17,30132,53,dns,dns|,4,4
null,null,0x0800,192.168.1.152,192.168.1.1,17,30047,53,dns,dns|,5,5
null,null,0x0800,192.168.1.152,54.244.22.196,6,41483,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,52.34.186.24,6,41547,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,209.133.217.165,17,123,123,none,none,1,0
null,null,0x0800,52.25.151.38,192.168.1.152,6,443,57679,tls,tls|,5,6
null,null,0x0800,192.168.1.152,192.168.1.1,17,30130,53,dns,dns|,4,4
null,null,0x0800,192.168.1.152,8.8.8.8,17,30428,53,dns,dns|,1,1
null,null,0x0800,192.168.1.152,192.168.1.1,17,30263,53,dns,dns|,2,2
null,null,0x0800,192.168.1.152,54.186.199.127,6,44225,443,tls,tls|,8,5
null,null,0x0800,192.168.1.152,52.34.186.24,6,40349,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,208.90.144.53,17,123,123,none,none,1,0
null,null,0x0800,192.168.1.152,52.11.174.245,6,40587,8883,tls,tls|,179,324
null,null,0x0800,192.168.1.152,192.168.1.1,17,30397,53,dns,dns|,1,1
null,null,0x0800,192.168.1.152,192.168.1.1,17,30264,53,dns,dns|,2,2
null,null,0x0800,192.168.1.152,192.168.1.1,17,30046,53,dns,dns|,5,5
null,null,0x0800,192.168.1.152,54.244.22.196,6,41484,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,129.250.35.250,17,123,123,ntp,ntp|,21,21
null,null,0x0800,192.168.1.152,8.8.8.8,17,30429,53,dns,dns|,1,1
null,null,0x0800,192.168.1.152,52.34.186.24,6,40520,443,tls,tls|,6,5
null,null,0x0800,209.123.234.43,192.168.1.152,17,123,123,ntp,ntp|,1,1
null,null,0x0800,52.11.174.245,192.168.1.152,6,8883,40283,tls,tls|,37,29
null,null,0x0800,192.168.1.152,52.34.186.24,6,57407,443,tls,tls|,6,5
null,null,0x0800,52.25.151.38,192.168.1.152,6,443,58972,tls,tls|,6,6
null,null,0x0800,52.25.151.38,192.168.1.152,6,443,57640,tls,tls|,6,6
null,null,0x0800,192.168.1.152,54.186.151.99,6,40641,8883,tls,tls|,6,4
null,null,0x0800,192.168.1.152,192.168.1.1,17,30267,53,dns,dns|,2,2
null,null,0x0800,216.75.56.132,192.168.1.152,17,123,123,ntp,ntp|,1,1
null,null,0x0800,192.168.1.152,192.168.1.1,17,30001,53,dns,dns|,18,18
null,null,0x0800,192.168.1.152,192.168.1.1,17,30134,53,dns,dns|,4,4
null,null,0x0800,192.168.1.152,52.34.186.24,6,41549,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,192.168.1.1,17,30049,53,dns,dns|,5,5
null,null,0x0800,192.168.1.152,52.11.174.245,6,40451,8883,tls,tls|,10061,19494
null,null,0x0800,192.168.1.152,54.244.22.196,6,41485,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,52.11.174.245,6,40584,8883,tls,tls|,6,4
null,null,0x0800,192.168.1.152,52.34.186.24,6,57406,443,tls,tls|,6,5
null,null,0x0800,52.25.151.38,192.168.1.152,6,443,57655,tls,tls|,6,6
null,null,0x0800,192.168.1.152,54.186.199.127,6,44223,443,tls,tls|,8,5
null,null,0x0800,192.168.1.152,54.186.151.99,6,40640,8883,tls,tls|,6,4
null,null,0x0800,192.168.1.152,54.244.22.196,6,40288,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,52.38.144.186,6,44224,443,tls,tls|,7,5
null,null,0x0800,192.168.1.152,176.9.82.67,17,123,123,ntp,ntp|,1,1
null,null,0x0800,192.168.1.152,192.168.1.1,17,30399,53,dns,dns|,1,1
null,null,0x0800,192.168.1.152,192.168.1.1,17,30266,53,dns,dns|,2,2
null,null,0x0800,192.168.1.152,192.168.1.1,17,30000,53,dns,dns|,18,18
null,null,0x0800,45.127.112.2,192.168.1.152,17,123,123,ntp,ntp|,2,2
null,null,0x0800,192.168.1.152,192.168.1.1,17,30133,53,dns,dns|,4,4
null,null,0x0800,192.168.1.152,52.34.186.24,6,41548,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,52.34.186.24,6,58954,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,192.168.1.1,17,30048,53,dns,dns|,5,5
null,null,0x0800,192.168.1.152,54.244.22.196,6,41486,443,tls,tls|,6,5
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30050,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30051,dns,dns|,5,5
null,null,0x0800,192.168.1.152,52.34.186.24,6,57409,443,tls,tls|,6,5
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30052,dns,dns|,5,5
null,null,0x0800,192.168.1.152,192.168.1.1,17,30042,53,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30053,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30054,dns,dns|,5,5
null,null,0x0800,192.168.1.152,192.168.1.1,17,30260,53,dns,dns|,2,2
null,null,0x0800,192.168.1.152,54.244.22.196,6,40289,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,54.244.22.196,6,57430,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,8.8.8.8,17,30070,53,dns,dns|,5,5
null,null,0x0800,54.191.103.42,192.168.1.152,6,443,41393,tls,tls|,5,6
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30055,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30056,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30057,dns,dns|,5,5
null,null,0x0800,192.168.1.152,54.244.22.196,6,41572,443,tls,tls|,6,5
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30058,dns,dns|,5,5
null,null,0x0800,78.46.204.247,192.168.1.152,17,123,123,ntp,ntp|,1,1
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30059,dns,dns|,5,5
null,null,0x0800,192.168.1.152,52.34.186.24,6,57408,443,tls,tls|,6,5
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30040,dns,dns|,5,5
null,null,0x0800,192.168.1.152,192.168.1.1,17,30041,53,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30041,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30042,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30043,dns,dns|,5,5
null,null,0x0800,192.168.1.152,54.244.22.196,6,40375,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,54.244.22.196,6,40460,443,tls,tls|,6,5
null,null,0x0800,192.155.81.203,192.168.1.152,17,123,123,ntp,ntp|,1,1
null,null,0x0800,192.168.1.152,150.101.176.226,17,123,123,ntp,ntp|,3,3
null,null,0x0800,192.168.1.152,8.8.8.8,17,30071,53,dns,dns|,5,5
null,null,0x0800,50.18.44.198,192.168.1.152,17,123,123,ntp,ntp|,1,1
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30044,dns,dns|,5,5
null,null,0x0800,192.168.1.152,52.34.186.24,6,58912,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,54.244.22.196,6,41488,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,74.105.105.232,17,123,123,none,none,1,0
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30045,dns,dns|,5,5
null,null,0x0800,67.18.187.111,192.168.1.152,17,123,123,ntp,ntp|,2,2
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30046,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30047,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30048,dns,dns|,5,5
null,null,0x0800,192.168.1.152,52.11.174.245,6,40450,8883,tls,tls|,6,4
null,null,0x0800,8.8.8.8,192.168.1.152,17,53,30049,dns,dns|,5,5
null,null,0x0800,192.168.1.152,52.11.174.245,6,40583,8883,tls,tls|,134,235
null,null,0x0800,192.168.1.152,54.244.22.196,6,47804,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,202.22.158.30,17,123,123,ntp,ntp|,1,1
null,null,0x0800,54.244.22.196,192.168.1.152,6,443,58911,tls,tls|,5,6
null,null,0x0800,54.244.22.196,192.168.1.152,6,443,58913,tls,tls|,5,6
null,null,0x0800,192.168.1.152,213.239.154.12,17,123,123,ntp,ntp|,1,1
null,null,0x0800,192.168.1.152,192.168.1.1,17,30395,53,dns,dns|,1,1
null,null,0x0800,192.168.1.152,192.168.1.1,17,30262,53,dns,dns|,2,2
null,null,0x0800,54.244.22.196,192.168.1.152,6,443,58918,tls,tls|,5,6
null,null,0x0800,192.168.1.152,54.244.22.196,6,40461,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,54.186.151.99,6,40645,8883,tls,tls|,6,4
null,null,0x0800,54.244.22.196,192.168.1.152,6,443,58919,tls,tls|,5,6
null,null,0x0800,192.168.1.152,52.34.186.24,6,40524,443,tls,tls|,6,5
null,null,0x0800,192.168.1.152,8.8.8.8,17,30072,53,dns,dns|,5,5
