srcMac, dstMac, ethType, srcIp, dstIp, ipProto, srcPort, dstPort, protocol, allMatches, numPayloadOnePackets, numPayloadTwoPackets
null,null,0x0800,192.168.1.118,8.8.8.8,17,31798,53,dns,dns|,6,6
null,null,0x0800,192.168.1.118,8.8.8.8,17,31532,53,dns,dns|,9,9
null,null,0x0800,192.168.1.118,212.113.190.2,17,48999,123,ntp,ntp|,4,4
null,null,0x0800,192.168.1.118,8.8.8.8,17,31665,53,dns,dns|,9,9
null,null,0x0800,192.168.1.1,192.168.1.118,17,53,32180,dns,dns|,5,5
null,null,0x0800,192.168.1.1,192.168.1.118,17,53,32181,dns,dns|,5,5
null,null,0x0800,192.168.1.118,192.168.1.1,17,30701,53,dns,dns|,13,13
null,null,0x0800,192.168.1.1,192.168.1.118,17,53,32182,dns,dns|,5,5
null,null,0x0800,192.168.1.118,192.168.1.1,17,30834,53,dns,dns|,12,12
null,null,0x0800,192.168.1.1,192.168.1.118,17,53,32183,dns,dns|,5,5
null,null,0x0800,192.168.1.118,192.168.1.1,17,32398,53,dns,dns|,3,3
null,null,0x0800,192.168.1.118,192.168.1.1,17,32132,53,dns,dns|,5,5
null,null,0x0800,192.168.1.118,192.168.1.1,17,32265,53,dns,dns|,5,5
null,null,0x0800,192.168.1.240,192.168.1.118,17,41495,56700,none,none,1,0
null,null,0x0800,192.168.1.118,8.8.8.8,17,30599,53,dns,dns|,12,12
null,null,0x0800,8.8.8.8,192.168.1.118,17,53,31020,dns,dns|,11,11
null,null,0x0800,176.221.42.125,192.168.1.118,17,123,48999,ntp,ntp|,2,2
null,null,0x0800,192.168.1.1,192.168.1.118,17,53,32177,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.118,17,53,32351,dns,dns|,3,3
null,null,0x0800,192.168.1.1,192.168.1.118,17,53,32178,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.118,17,53,32350,dns,dns|,3,3
null,null,0x0800,192.168.1.118,192.168.1.1,17,30968,53,dns,dns|,11,11
null,null,0x0800,192.168.1.1,192.168.1.118,17,53,32179,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.118,17,53,31024,dns,dns|,11,11
null,null,0x0800,192.168.1.118,8.8.8.8,17,30200,53,dns,dns|,16,16
null,null,0x0800,192.168.1.118,192.168.1.1,17,30835,53,dns,dns|,12,12
null,null,0x0800,192.168.1.1,192.168.1.118,17,53,32173,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.118,17,53,32355,dns,dns|,3,3
null,null,0x0800,192.168.1.118,8.8.8.8,17,32863,53,dns,dns|,2,2
null,null,0x0800,192.168.1.118,8.8.8.8,17,33095,53,dns,dns|,1,1
null,null,0x0800,8.8.8.8,192.168.1.118,17,53,31023,dns,dns|,11,11
null,null,0x0800,192.168.1.1,192.168.1.118,17,53,32174,dns,dns|,5,5
null,null,0x0800,8.8.8.8,192.168.1.118,17,53,32354,dns,dns|,3,3
null,null,0x0800,192.168.1.118,8.8.8.8,17,32996,53,dns,dns|,1,1
null,null,0x0800,8.8.8.8,192.168.1.118,17,53,31022,dns,dns|,11,11
