srcMac, dstMac, ethType, srcIp, dstIp, ipProto, srcPort, dstPort, protocol, allMatches, numPayloadOnePackets, numPayloadTwoPackets
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,36752,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,49050,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,35423,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,56757,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,35426,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,48739,dns,dns|,2,2
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,48734,dns,dns|,1,1
null,null,0x0800,192.168.1.177,176.31.232.79,6,51948,443,tls,tls|,4,8
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,47405,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,57823,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,36759,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,50173,53,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,48952,53,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,43924,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,35435,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,50040,53,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,46553,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,36765,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,47419,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,34922,53,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,45356,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,47410,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,48743,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,51371,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,48747,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,36769,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,36774,dns,dns|,2,2
null,null,0x0800,192.168.1.177,192.168.1.1,17,48953,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,35444,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,48820,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,34115,dns,dns|,1,1
null,null,0x0800,192.168.1.177,176.31.232.79,6,60460,443,tls,tls|,4,9
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,48759,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,47429,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,60409,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,59411,dns,dns|,2,2
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,35440,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,59410,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,34923,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,48754,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,45353,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,47426,dns,dns|,2,2
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,47427,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,47883,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,35449,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,33858,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,36786,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,56627,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,36789,dns,dns|,2,2
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,34126,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,34128,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,46684,53,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,32787,53,dns,dns|,1,1
null,null,0x0800,192.168.1.177,192.168.1.1,17,53025,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,59402,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,59401,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,35450,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,47431,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,46100,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.177,17,53,48763,dns,dns|,1,1
