srcMac, dstMac, ethType, srcIp, dstIp, ipProto, srcPort, dstPort, protocol, allMatches, numPayloadOnePackets, numPayloadTwoPackets
null,null,0x0800,192.168.1.249,104.98.5.24,6,47952,80,http,http|,1,1
null,null,0x0800,192.168.1.249,104.98.5.24,6,48184,80,http,http|,1,1
null,null,0x0800,192.168.1.249,192.168.1.1,17,55336,53,dns,dns|,2,2
null,null,0x0800,192.168.1.249,192.168.1.1,17,55469,53,dns,dns|,2,2
null,null,0x0800,23.12.64.41,192.168.1.249,6,80,44068,http,http|,1,1
null,null,0x0800,23.12.64.41,192.168.1.249,6,80,44067,http,http|,1,1
null,null,0x0800,192.168.1.249,192.168.1.1,17,33633,53,dns,dns|,1,1
null,null,0x0800,192.168.1.249,192.168.1.1,17,57866,53,dns,dns|,1,1
null,null,0x0800,23.12.64.41,192.168.1.249,6,80,44065,http,http|,1,1
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,4466,http,http|,6,6
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,3134,http,http|,7,7
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,4467,http,http|,3,3
null,null,0x0800,23.12.64.41,192.168.1.249,6,80,44063,http,http|,1,1
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,3133,http,http|,7,7
null,null,0x0800,192.168.1.249,192.168.1.1,17,59031,53,dns,dns|,2,2
null,null,0x0800,23.12.64.41,192.168.1.249,6,80,44062,http,http|,1,1
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,4464,http,http|,1,1
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,3136,http,http|,5,5
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,4465,http,http|,6,6
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,3135,http,http|,3,3
null,null,0x0800,23.12.64.41,192.168.1.249,6,80,44060,http,http|,1,1
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,3138,http,http|,3,3
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,3137,http,http|,5,5
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,4468,http,http|,4,4
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,4469,http,http|,3,3
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,3139,http,http|,6,6
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,4462,http,http|,3,3
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,3130,http,http|,5,5
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,4463,http,http|,8,8
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,4460,http,http|,4,4
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,3132,http,http|,7,7
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,4461,http,http|,5,5
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,3131,http,http|,7,7
null,null,0x0800,192.168.1.249,239.255.255.250,17,40402,1900,ssdp,ssdp|,1,0
null,null,0x0800,192.168.1.249,192.168.1.239,17,1900,36023,ssdp,ssdp|,1,0
null,null,0x0800,192.168.1.249,23.12.64.41,6,43978,80,http,http|,1,1
null,null,0x0800,192.168.1.249,23.12.64.41,6,43845,80,http,http|,1,1
null,null,0x0800,192.168.1.249,23.12.64.41,6,43712,80,http,http|,1,1
null,null,0x0800,23.12.64.41,192.168.1.249,6,80,44078,http,http|,1,1
null,null,0x0800,23.12.64.41,192.168.1.249,6,80,44077,http,http|,1,1
null,null,0x0800,192.168.1.249,192.168.1.1,17,37461,53,dns,dns|,1,1
null,null,0x0800,192.168.1.249,192.168.1.1,17,57734,53,dns,dns|,2,2
null,null,0x0800,192.168.1.249,192.168.1.1,17,41509,5351,none,none,1,0
null,null,0x0800,192.168.1.249,192.168.1.1,17,35198,53,dns,dns|,2,2
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,4455,http,http|,5,5
null,null,0x0800,23.12.64.41,192.168.1.249,6,80,44075,http,http|,1,1
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,3123,http,http|,7,7
null,null,0x0800,192.168.1.249,192.168.1.193,6,49152,4456,http,http|,6,6
null,null,0x0800,192.168.1.249,192.168.1.1,17,34963,53,dns,dns|,2,2
null,null,0x0800,23.12.64.41,192.168.1.249,6,80,44074,http,http|,1,1
null,null,0x0800,192.168.1.249,192.168.1.1,17,59030,53,dns,dns|,2,2
null,null,0x0800,192.168.1.249,104.98.5.24,6,49383,80,http,http|,1,1
