srcMac, dstMac, ethType, srcIp, dstIp, ipProto, srcPort, dstPort, protocol, allMatches, numPayloadOnePackets, numPayloadTwoPackets
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,44122,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,44120,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,44125,dns,dns|,2,2
null,null,0x0800,192.168.1.143,52.221.127.70,6,48849,80,http,http|,1,1
null,null,0x0800,192.168.1.143,52.76.46.19,17,18366,3478,none,none,20,0
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,44124,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,46784,dns,dns|,1,1
null,null,0x0800,52.220.147.223,192.168.1.143,6,80,58148,http,http|,1,1
null,null,0x0800,52.77.191.7,192.168.1.143,6,80,44692,http,http|,1,1
null,null,0x0800,192.168.1.143,54.179.142.25,6,43448,80,http,http|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,56109,dns,dns|,1,1
null,null,0x0800,52.77.191.7,192.168.1.143,6,80,43360,http,http|,1,1
null,null,0x0800,192.168.1.143,52.220.82.120,6,44567,80,http,http|,1,1
null,null,0x0800,52.77.36.62,192.168.1.143,6,80,38245,http,http|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,56100,dns,dns|,1,1
null,null,0x0800,52.220.239.112,192.168.1.143,6,80,45652,http,http|,1,1
null,null,0x0800,52.77.191.7,192.168.1.143,6,80,43358,http,http|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,58762,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,34795,dns,dns|,1,1
null,null,0x0800,192.168.1.143,129.94.5.92,17,30426,30426,none,none,70,0
null,null,0x0800,192.168.1.143,52.76.51.215,17,27699,3478,none,none,212,37
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,58761,dns,dns|,1,1
null,null,0x0800,192.168.1.143,149.171.37.162,17,19605,19605,none,none,49,0
null,null,0x0800,52.77.11.250,192.168.1.143,6,80,56828,http,http|,1,1
null,null,0x0800,192.168.1.143,192.168.1.1,17,55255,53,dns,dns|,1,1
null,null,0x0800,52.76.46.19,192.168.1.143,17,3478,16768,none,none,7,7
null,null,0x0800,52.220.82.120,192.168.1.143,6,80,41820,http,http|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,56105,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,58766,dns,dns|,1,1
null,null,0x0800,192.168.1.143,52.77.49.32,6,36312,80,http,http|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,34793,dns,dns|,1,1
null,null,0x0800,54.254.170.235,192.168.1.143,6,80,54981,http,http|,1,1
null,null,0x0800,52.220.255.1,192.168.1.143,6,80,32804,http,http|,1,1
null,null,0x0800,192.168.1.143,52.76.51.215,17,29963,3478,none,none,25,25
null,null,0x0800,192.168.1.143,192.168.1.1,17,39037,53,dns,dns|,1,1
null,null,0x0800,192.168.1.143,192.168.1.1,17,43889,53,dns,dns|,1,1
null,null,0x0800,192.168.1.143,52.74.117.156,6,40834,80,http,http|,1,1
null,null,0x0800,192.168.1.143,52.76.201.235,6,40382,80,http,http|,1,1
null,null,0x0800,192.168.1.143,192.168.1.1,17,37608,53,dns,dns|,1,1
null,null,0x0800,192.168.1.143,192.168.1.1,17,54056,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,45441,dns,dns|,1,1
null,null,0x0800,192.168.1.143,52.221.64.209,17,26966,3478,none,none,32,0
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,44115,dns,dns|,1,1
null,null,0x0800,52.220.147.223,192.168.1.143,6,80,47486,http,http|,1,1
null,null,0x0800,192.168.1.143,52.74.117.156,6,45119,80,http,http|,1,1
null,null,0x0800,54.179.144.186,192.168.1.143,6,80,57608,http,http|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,46771,dns,dns|,2,2
null,null,0x0800,192.168.1.143,52.221.64.209,17,30586,3478,none,none,16,0
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,57428,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,57429,dns,dns|,2,2
null,null,0x0800,52.77.191.7,192.168.1.143,6,80,42041,http,http|,1,1
null,null,0x0800,52.221.149.2,192.168.1.143,6,80,52018,http,http|,1,1
null,null,0x0800,52.76.46.19,192.168.1.143,17,3478,27439,none,none,1,1
null,null,0x0800,192.168.1.143,52.76.46.19,17,31823,3478,none,none,160,0
null,null,0x0800,52.76.46.19,192.168.1.143,17,3478,27437,none,none,3,3
null,null,0x0800,192.168.1.143,52.221.64.209,17,25634,3478,none,none,80,0
null,null,0x0800,192.168.1.143,192.168.1.1,17,40159,53,dns,dns|,2,2
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,58752,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,33476,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.143,17,53,58750,dns,dns|,1,1
null,null,0x0800,52.221.17.78,192.168.1.143,6,80,33612,http,http|,1,1
