srcMac, dstMac, ethType, srcIp, dstIp, ipProto, srcPort, dstPort, protocol, allMatches, numPayloadOnePackets, numPayloadTwoPackets
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,44486,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,44098,443,tls,tls|,5,6
null,null,0x0800,192.168.1.120,91.121.58.223,6,32835,80,http,http|,2,12
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,43157,dns,dns|,268,268
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,43156,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,44481,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,43153,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,56698,443,tls,tls|,7,5
null,null,0x0800,192.168.1.120,188.165.38.151,6,56565,443,tls,tls|,6,6
null,null,0x0800,192.168.1.120,188.165.38.151,6,60183,443,tls,tls|,6,5
null,null,0x0800,192.168.1.120,192.168.1.1,17,36280,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,35309,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,56552,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,42668,443,tls,tls|,7,6
null,null,0x0800,192.168.1.120,192.168.1.1,17,54289,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,56463,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,48891,443,tls,tls|,6,5
null,null,0x0800,192.168.1.120,192.168.1.1,17,36508,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,44489,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,43158,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,57883,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,44097,443,tls,tls|,5,6
null,null,0x0800,192.168.1.120,192.168.1.1,17,55486,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,44497,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,43165,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,44491,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,56699,443,tls,tls|,6,6
null,null,0x0800,192.168.1.120,188.165.38.151,6,60182,443,tls,tls|,6,6
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,39900,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,42667,443,tls,tls|,6,6
null,null,0x0800,192.168.1.120,192.168.1.1,17,53925,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,46.105.38.79,6,35831,5228,none,none,534,525
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,39909,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,43988,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,55143,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,48890,443,tls,tls|,7,5
null,null,0x0800,192.168.1.120,188.165.38.151,6,60409,443,tls,tls|,6,5
null,null,0x0800,192.168.1.120,192.168.1.1,17,40125,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,55354,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,49339,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,203.173.10.97,17,123,123,ntp,ntp|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,44096,443,tls,tls|,5,6
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,45796,dns,dns|,1,1
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60285,tls,tls|,5,6
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60284,tls,tls|,5,6
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60287,tls,tls|,6,6
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,45795,dns,dns|,1,1
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60286,tls,tls|,5,6
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60281,tls,tls|,5,6
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60280,tls,tls|,5,6
null,null,0x0800,192.168.1.120,192.168.1.1,17,33653,53,dns,dns|,2,2
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60283,tls,tls|,6,6
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60282,tls,tls|,5,6
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60289,tls,tls|,6,6
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,57777,dns,dns|,1,1
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60288,tls,tls|,5,7
null,null,0x0800,192.168.1.120,192.168.1.1,17,46708,53,dns,dns|,2,2
null,null,0x0800,192.168.1.120,188.165.38.151,6,60181,443,tls,tls|,6,5
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,57774,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,51658,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,54025,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,51525,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,55113,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,56444,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,43852,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,55114,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,56441,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,40128,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,42787,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,44467,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,60408,443,tls,tls|,6,5
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,45798,dns,dns|,2,2
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,43144,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,44099,443,tls,tls|,5,6
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60274,tls,tls|,5,6
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60273,tls,tls|,6,6
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60276,tls,tls|,5,7
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60275,tls,tls|,5,6
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60270,tls,tls|,5,6
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60272,tls,tls|,5,6
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60271,tls,tls|,5,6
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60278,tls,tls|,5,7
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,55127,dns,dns|,1,1
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60277,tls,tls|,5,6
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,56459,dns,dns|,2,2
null,null,0x0800,192.168.1.120,188.165.38.151,6,60180,443,tls,tls|,6,5
null,null,0x0800,188.165.38.151,192.168.1.120,6,443,60279,tls,tls|,5,6
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,55125,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,57781,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,42669,443,tls,tls|,6,6
null,null,0x0800,192.168.1.120,192.168.1.1,17,40127,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,42788,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,60407,443,tls,tls|,7,6
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,43149,dns,dns|,2,2
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,43110,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,57622,53,dns,dns|,2,2
null,null,0x0800,192.168.1.120,129.250.35.251,17,123,123,ntp,ntp|,20,20
null,null,0x0800,192.168.1.120,188.165.38.151,6,50950,443,tls,tls|,5,5
null,null,0x0800,192.168.1.120,188.165.38.151,6,56694,443,tls,tls|,7,6
null,null,0x0800,192.168.1.120,188.165.38.151,6,56561,443,tls,tls|,6,7
null,null,0x0800,192.168.1.120,188.165.38.151,6,56560,443,tls,tls|,5,6
null,null,0x0800,192.168.1.120,188.165.38.151,6,51050,443,tls,tls|,5,5
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,43119,dns,dns|,1,1
null,null,0x0800,192.168.1.120,91.121.58.223,6,32830,80,http,http|,2,12
null,null,0x0800,192.168.1.120,188.165.38.151,6,44093,443,tls,tls|,5,6
null,null,0x0800,192.168.1.120,188.165.38.151,6,42664,443,tls,tls|,6,6
null,null,0x0800,192.168.1.120,188.165.38.151,6,60539,443,tls,tls|,6,6
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,44445,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,36504,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,45777,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,60406,443,tls,tls|,6,5
null,null,0x0800,192.168.1.120,192.168.1.1,17,36637,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,57887,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,43123,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,49201,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,55108,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,35304,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,33776,dns,dns|,2,2
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,55106,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,37836,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,56562,443,tls,tls|,7,7
null,null,0x0800,192.168.1.120,188.165.38.151,6,56695,443,tls,tls|,6,5
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,57763,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,57762,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,55101,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,57761,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,51051,443,tls,tls|,5,6
null,null,0x0800,192.168.1.120,188.165.38.151,6,44092,443,tls,tls|,5,6
null,null,0x0800,192.168.1.120,192.168.1.1,17,59186,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,42663,443,tls,tls|,8,8
null,null,0x0800,192.168.1.120,192.168.1.1,17,59053,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,60405,443,tls,tls|,6,6
null,null,0x0800,192.168.1.120,192.168.1.1,17,51655,53,dns,dns|,2,2
null,null,0x0800,192.168.1.120,188.165.38.151,6,60538,443,tls,tls|,6,5
null,null,0x0800,192.168.1.120,192.168.1.1,17,36505,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,60404,443,tls,tls|,6,5
null,null,0x0800,192.168.1.120,192.168.1.1,17,39263,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,57737,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,50952,443,tls,tls|,5,5
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,57733,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,56404,dns,dns|,1,1
null,null,0x0800,192.168.1.120,188.165.38.151,6,56696,443,tls,tls|,6,5
null,null,0x0800,192.168.1.120,192.168.1.1,17,35307,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,103.38.120.36,17,123,123,ntp,ntp|,24,24
null,null,0x0800,192.168.1.120,188.165.38.151,6,42666,443,tls,tls|,6,6
null,null,0x0800,192.168.1.120,192.168.1.1,17,37832,53,dns,dns|,1,1
null,null,0x0800,192.168.1.120,192.168.1.1,17,48005,53,dns,dns|,3,3
null,null,0x0800,192.168.1.120,188.165.38.151,6,44095,443,tls,tls|,5,6
null,null,0x0800,192.168.1.120,192.168.1.1,17,36502,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.120,17,53,44423,dns,dns|,1,1
