srcMac, dstMac, ethType, srcIp, dstIp, ipProto, srcPort, dstPort, protocol, allMatches, numPayloadOnePackets, numPayloadTwoPackets
null,null,0x0800,89.30.121.150,192.168.1.166,6,80,55252,http,http|,2,3
null,null,0x0800,192.168.1.166,89.30.121.150,6,43573,80,http,http|,1,1
null,null,0x0800,89.30.121.150,192.168.1.166,6,80,55251,http,http|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,46426,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,47754,dns,dns|,1,1
null,null,0x0800,89.30.121.150,192.168.1.166,6,80,55250,http,http|,2,3
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,58406,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,34439,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,58408,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,33100,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,59730,dns,dns|,1,1
null,null,0x0800,192.168.1.166,89.30.121.150,6,52445,80,http,http|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,35760,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,59731,dns,dns|,1,1
null,null,0x0800,192.168.1.166,89.30.121.150,6,57471,80,http,http|,1,1
null,null,0x0800,192.168.1.166,192.168.1.1,17,56488,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,35764,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,60738,dns,dns|,1,1
null,null,0x0800,192.168.1.166,192.168.1.1,17,37281,53,dns,dns|,1,1
null,null,0x0800,192.168.1.166,192.168.1.1,17,44723,53,dns,dns|,1,1
null,null,0x0800,192.168.1.166,192.168.1.1,17,35850,53,dns,dns|,2,2
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,60736,dns,dns|,1,1
null,null,0x0800,192.168.1.166,192.168.1.1,17,42326,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,60735,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,47759,dns,dns|,1,1
null,null,0x0800,192.168.1.166,192.168.1.1,17,44989,53,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,46431,dns,dns|,1,1
null,null,0x0800,89.30.121.150,192.168.1.166,6,80,55245,http,http|,4,4
null,null,0x0800,89.30.121.150,192.168.1.166,6,80,55244,http,http|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,46430,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,45104,dns,dns|,1,1
null,null,0x0800,192.168.1.1,192.168.1.166,17,53,46435,dns,dns|,1,1
null,null,0x0800,89.30.121.150,192.168.1.166,6,80,55240,http,http|,1,1
null,null,0x0800,192.168.1.166,89.30.121.150,6,43572,80,http,http|,3,2
